"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Overtoom 68, 1054 HL Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,"restaurant","Asian","Indonesian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1047813","false","false","52.363003","4.876083","Kartika","1299","+31 20 618 1879","$$ - $$$","4039","255","#218 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d1047813-Reviews-Kartika-Amsterdam_North_Holland_Province.html","http://www.restaurantkartika.com/"
"Reguliersdwarsstraat 131, 1017 BL Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013",,,,,,,,,"restaurant","Grill","Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"Tomosushinl@gmail.com","1335","720",,,,,"1335","960",,,,,"1335","960",,,,,"1335","960",,,,,"1335","960",,,,,"1335","720",,,,,"1335","720",,,,,"697038","false","false","52.365833","4.895433","Tomo Sushi","393","+31 20 528 5208","$$ - $$$","4039","251","#214 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d697038-Reviews-Tomo_Sushi-Amsterdam_North_Holland_Province.html","http://www.tomosushi.nl/"
"Weteringstraat 48, 1017 SP Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,"info@backtoblackcoffee.nl","1080","540",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","540",,,,,"7095266","false","false","52.360924","4.888291","Back to Black coffee","163","+31 20 304 4988","$$ - $$$","4039","260","#11 of 174 Coffee & Tea in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d7095266-Reviews-Back_to_Black_coffee-Amsterdam_North_Holland_Province.html","http://www.backtoblackcoffee.nl/"
"Haarlemmerstraat 130, 1013 EX Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@luccadue.nl","1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1410","900",,,,,"1410","900",,,,,"1410","720",,,,,"10134584","false","false","52.381153","4.89005","Restaurant Pizzeria Lucca Due","289","+31 20 622 0353","$$ - $$$","4039","253","#216 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d10134584-Reviews-Restaurant_Pizzeria_Lucca_Due-Amsterdam_North_Holland_Province.html","http://www.luccadue.nl"
"Leliegracht 46, 1015 DH Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Steakhouse","European","International","Vegetarian Friendly","Gluten Free Options",,,,,,,,"info@restaurantblackandblue.nl","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"6978678","false","false","52.375748","4.885408","Restaurant Black and Blue","1645","+31 20 625 0807","$$ - $$$","4039","257","#220 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d6978678-Reviews-Restaurant_Black_and_Blue-Amsterdam_North_Holland_Province.html","http://www.steakrestaurantamsterdam.nl/"
"Prinsenstraat 10HS, 1015 DC Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","French","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@restaurantbleu.amsterdam","1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"10127182","false","false","52.377808","4.887129","Restaurant Bleu","491","+31 20 362 1340","$$ - $$$","4039","252","#215 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d10127182-Reviews-Restaurant_Bleu-Amsterdam_North_Holland_Province.html","http://www.restaurantbleu.amsterdam"
"Rozengracht 5, 1016 LP Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Steakhouse","Barbecue","Grill","Argentinean","Vegetarian Friendly","Gluten Free Options",,,,,,,"info@amigogrill.nl","1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"2228019","false","false","52.37376","4.882618","Amigo Argentijns Restaurant","520","+31 20 638 6246","$$ - $$$","4039","259","#222 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d2228019-Reviews-Amigo_Argentijns_Restaurant-Amsterdam_North_Holland_Province.html","http://www.amigogrill.nl"
"Leliegracht 26/28, 1015 DG Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,,,"restaurant","Dutch","Mediterranean","European","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@restaurantdeluwte.com","1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1350","1080",,,,,"1350","1080",,,,,"808295","false","false","52.375202","4.886706","de Luwte","906","+31 20 625 8548","$$ - $$$","4039","256","#219 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d808295-Reviews-De_Luwte-Amsterdam_North_Holland_Province.html","http://www.restaurantdeluwte.com"
"Kolksteeg 1A, 1012 PT Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,,"1230","720",,,,,,,,,,,,,,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"4177241","false","false","52.37618","4.895379","Yu Family Kitchen","401","+31 20 420 9177","$","4039","254","#217 of 3,997 Restaurants in Amsterdam","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d4177241-Reviews-Yu_Family_Kitchen-Amsterdam_North_Holland_Province.html","http://yufamilykitchen.strikingly.com/"
"Spuistraat 294-302, 1012 VX Amsterdam The Netherlands","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,"restaurant","Dutch","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"vijffvlieghen@nh-hotels.com","1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"696910","false","false","52.369564","4.888896","Restaurant d'Vijff Vlieghen","1914","+31 20 530 4060","$$$$","4039","258","#221 of 3,997 Restaurants in Amsterdam","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188590-d696910-Reviews-Restaurant_d_Vijff_Vlieghen-Amsterdam_North_Holland_Province.html","http://www.vijffvlieghen.nl/en/"
