"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Falirou 10 Acropolis, Athens 11742 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@manimani.com.gr","1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"1380","840",,,,,"695929","false","false","37.966698","23.728361","Mani Mani","2372","+30 21 0921 8180","$$ - $$$","2681","52","#42 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d695929-Reviews-Mani_Mani-Athens_Attica.html","http://www.manimani.com.gr"
"Navarchou Apostoli, Athens 10554 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Cafe","Mediterranean","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@liveinathens.net","1020","600",,,,,"960","570",,,,,,,,,,,"960","570",,,,,"960","570",,,,,"960","570",,,,,"1020","600",,,,,"10529343","false","false","37.977886","23.72297","Spiti Mas","305","+30 21 1401 0924","$","2681","57","#47 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10529343-Reviews-Spiti_Mas-Athens_Attica.html","http://www.liveinathens.net"
"27 Makrygianni St, Athens 11742 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Seafood","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@greektaverna.gr","1410","480",,,,,"1410","480",,,,,"1410","690",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1501262","false","false","37.968254","23.729424","Arcadia Restaurant","3632","+30 21 0923 8124","$$ - $$$","2681","51","#41 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d1501262-Reviews-Arcadia_Restaurant-Athens_Attica.html","http://www.greektaverna.gr/"
"Navarchou Apostoli 11, Athens 10554 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Italian","Greek","Bar","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,"mastersbarathens@gmail.com","1440","1080",,,,,,,,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"12696213","false","false","37.977806","23.722948","Masters Bar","327","+30 21 0331 1200","$","2681","55","#45 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12696213-Reviews-Masters_Bar-Athens_Attica.html","http://www.mastersbar.gr/"
"Aiolou 57 Monastiraki, Athens 105 51 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Mediterranean","Greek","Middle Eastern","Armenian","Arabic","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1410","540",,,,,"1410","540",,,,,"7906947","false","false","37.978695","23.728048","Pera","186","+30 21 0323 2368","$","2681","58","#48 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7906947-Reviews-Pera-Athens_Attica.html","http://www.facebook.com/perastreetfood/"
"Filellinon 4, Athens 10557 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Indian","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@tarka-athens.gr","1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"13506586","false","false","37.97463","23.73381","TARKA Indian Restaurant","256","+30 21 0331 8477","$$ - $$$","2681","56","#46 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d13506586-Reviews-TARKA_Indian_Restaurant-Athens_Attica.html","https://www.facebook.com/Tarka.Athens"
"Filopoimenos 4 Varvakeios Market, Athens 105 51 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Mediterranean","Greek","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"7794299","false","false","37.98","23.728233","Oinomageireio Epirus","785","+30 21 0324 0773","$","2681","59","#49 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7794299-Reviews-Oinomageireio_Epirus-Athens_Attica.html","http://www.facebook.com/pages/category/Greek-Restaurant/%CE%9F%CE%B9%CE%BD%CE%BF%CE%BC%CE%B1%CE%B3%CE%B5%CE%B9%CF%81%CE%B5%CE%AF%CE%BF-%CE%97-%CE%89%CF%80%CE%B5%CE%B9%CF%81%CE%BF%CF%82-Oinomageireio-Epirus-764276353627495"
"38 Athanasiou Diakou & Kallirois str Next to Temple of Olympian Zeus & Arch of Hadrian, Athens 117 43 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Cafe","Healthy","Arabic","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"lefterisathens@hotmail.gr","1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"1500","540",,,,,"4213742","false","false","37.96757","23.733006","Veganaki","207","+30 21 0924 4322","$","2681","54","#44 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d4213742-Reviews-Veganaki-Athens_Attica.html","http://www.facebook.com/%CE%96%CE%AC%CF%87%CE%B1%CF%81%CE%B7-%CE%91%CE%BB%CE%AC%CF%84%CE%B9-100260356708405"
"Veikou 1, Athens 11742 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Diner","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@balconyathens.com","1380","780",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"10689208","false","false","37.96739","23.728767","Balcony Restaurant & Bar","1134","+30 21 1411 8437","$$ - $$$","2681","60","#50 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10689208-Reviews-Balcony_Restaurant_Bar-Athens_Attica.html","https://www.facebook.com/balconyathens/"
"Anastassiou Zinni 29-31 Dimitrakopoulou, next to Fix Metro Station, Athens 117 41 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Mediterranean","Grill","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"famiglialtd@gmail.com",,,,,,,"1380","750",,,,,"1380","750",,,,,"1380","750",,,,,"1380","750",,,,,"1380","750",,,,,"1380","750",,,,,"6721199","false","false","37.96385","23.723322","Dio Dekares i Oka","1376","+30 21 0922 0583","$$ - $$$","2681","53","#43 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d6721199-Reviews-Dio_Dekares_i_Oka-Athens_Attica.html","http://dyodekaresioka.gr"
"Nikis 30 Syntagma, Athens 105 57 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Mediterranean","European","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"happy@avocadoathens.com",,,,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,,,,,,,"2155243","false","false","37.973854","23.732843","Avocado","2430","+30 21 0323 7878","$$ - $$$","2681","62","#51 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d2155243-Reviews-Avocado-Athens_Attica.html","http://www.avocadoathens.com"
"Astiggos 8 Monastiraki, Athens Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Mediterranean","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@kallipateira.gr","1440","600",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","690",,,,,"1440","600",,,,,"3916147","false","false","37.97657","23.722939","Kallipateira","699","+30 21 0321 4152","$$ - $$$","2681","70","#58 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3916147-Reviews-Kallipateira-Athens_Attica.html","http://www.kallipateira.gr"
"Pitheou 34 Geometrou 1, Lofos Lambraki, Neos Kosmos, Athens 117 43 Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Seafood","Mediterranean","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@totrikyklo.gr","1320","720",,,,,,,,,,,"1320","810",,,,,"1320","810",,,,,"1320","810",,,,,"1320","810",,,,,"1320","720",,,,,"2649991","false","false","37.96234","23.73237","To Trikyklo","783","+30 21 0923 2384","$$ - $$$","2681","67","#56 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d2649991-Reviews-To_Trikyklo-Athens_Attica.html","http://www.totrikyklo.gr"
"Stratigou Kontouli 15, Athens Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Bar","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"1560","570",,,,,"1560","570",,,,,"1560","570",,,,,"1560","570",,,,,"1560","570",,,,,"1560","570",,,,,"1560","570",,,,,"7940425","false","false","37.96617","23.726294","Sfika","688","+30 21 0922 1341","$","2681","64","#53 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7940425-Reviews-Sfika-Athens_Attica.html","http://facebook.com/sfikapub"
