"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Alt-Moabit 98, 10559 Berlin Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","German","Bar","European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,"info@paulaners-berlin.de","1440","1380",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1344191","false","false","52.52432","13.346679","Paulaners","329","+49 30 39881426","$$ - $$$","6554","352","#310 of 6,243 Restaurants in Berlin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d1344191-Reviews-Paulaners-Berlin.html","http://paulaner-im-spreebogen.de"
"Lausitzer Str. 25, 10999 Berlin Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10253758","false","false","52.495213","13.426661","Lode & Stijn","107","+49 30 65214507","$$$$","6554","360","#317 of 6,243 Restaurants in Berlin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d10253758-Reviews-Lode_Stijn-Berlin.html","http://www.lode-stijn.de/"
"Budapester Str. 40 25hours Hotel Bikini, 10787 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","Bar","Vegetarian Friendly",,,,,,,,,,,"monkeybar.bikini@25hours-hotels.com","1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"1560","720",,,,,"7242072","false","false","52.50561","13.337978","Monkey Bar","1966","+49 30 120221210","$$ - $$$","6554","351","#309 of 6,243 Restaurants in Berlin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d7242072-Reviews-Monkey_Bar-Berlin.html","http://monkeybarberlin.de/"
"Kurfuerstenstr. 112, 10787 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Asian","Vietnamese","Gastropub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"info@lieu-in-berlin.de","1380","1020",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","1020",,,,,"1343353","false","false","52.50379","13.346779","Lieu in Berlin","480","+49 30 93957474","$$ - $$$","6554","201","#171 of 6,243 Restaurants in Berlin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d1343353-Reviews-Lieu_in_Berlin-Berlin.html","http://www.lieu-in-berlin.de"
"Georgenstr. 198, 10117 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Mexican","Latin","Vegetarian Friendly",,,,,,,,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"958893","false","false","52.51984","13.389901","Tex Mex Cantina","427","+49 176 36104377","$$ - $$$","6554","202","#172 of 6,243 Restaurants in Berlin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d958893-Reviews-Tex_Mex_Cantina-Berlin.html","http://tex-mex-cantina-berlin.xregional.de"
"Weinbergsweg 8, 10119 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,"info@yumchaheroes.com","1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1431025","false","false","52.5313","13.402656","Yumcha Heroes","423","+49 30 76213035","$$ - $$$","6554","205","#175 of 6,243 Restaurants in Berlin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d1431025-Reviews-Yumcha_Heroes-Berlin.html","http://www.yumchaheroes.de/"
"Friedrichstrasse 100, 10117 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","American","Steakhouse","Barbecue","European","Vegetarian Friendly","Gluten Free Options",,,,,,,"info@block-house.de","1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"2395287","false","false","52.52039","13.388225","BLOCK HOUSE Friedrichstrasse","1797","+49 30 20074377","$$ - $$$","6554","206","#176 of 6,243 Restaurants in Berlin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d2395287-Reviews-BLOCK_HOUSE_Friedrichstrasse-Berlin.html","http://www.block-house.de"
"Alte Schoenhauser Str. 60, 10119 Berlin Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,,,,,"restaurant","Asian","Vietnamese","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,,"info@good-morning-vietnam.de","1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"801454","false","false","52.528366","13.40925","Good Morning Vietnam","452","+49 30 30882973","$$ - $$$","6554","357","#314 of 6,243 Restaurants in Berlin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d801454-Reviews-Good_Morning_Vietnam-Berlin.html","http://www.good-morning-vietnam.de/"
"Oderberger Str. 7, 10435 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Asian","Vietnamese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"2705637","false","false","52.538445","13.409953","Vietnam Village","251","+49 30 36423292","$","6554","354","#311 of 6,243 Restaurants in Berlin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d2705637-Reviews-Vietnam_Village-Berlin.html",
"Wilhelmstrasse 91, 10117 Berlin Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","International","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"cafe@steel-vintage.com","960","600",,,,,"960","600",,,,,"960","600",,,,,"960","600",,,,,"960","600",,,,,"960","600",,,,,"960","600",,,,,"11977705","false","false","52.512844","13.382372","Steel Vintage Bikes Cafe & Kitchen","617","+49 30 20623877","$","6554","209","#178 of 6,243 Restaurants in Berlin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187323-d11977705-Reviews-Steel_Vintage_Bikes_Cafe_Kitchen-Berlin.html","https://steel-vintage.com/cafes-and-stores/wilhelmstr"
