"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","cuisine/15","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Radlinskeho 26, Bratislava 811 07 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Dining bars",,,,,,,,,,,,,,,"info@maddrop.sk","1200","600",,,"1200","480",,,"1200","480",,,"1200","480",,,"1320","480",,,"1320","480",,,"1320","600",,,"8736391","false","false","48.153522","17.119167","MAD DROP","29","+421 911 906 061","$$ - $$$","1180","259","#36 of 106 Coffee & Tea in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d8736391-Reviews-MAD_DROP-Bratislava_Bratislava_Region.html","http://www.maddrop.sk"
"Mytna 48, Bratislava 81107 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","American","International",,,,,,,,,,,,,,,"info@blue-bear.sk","1320","600",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","600",,,"13203526","false","false","48.157078","17.1193","Blue Bear Restaurant & Bar","26","+421 907 449 592","$$ - $$$","1180","260","#212 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d13203526-Reviews-Blue_Bear_Restaurant_Bar-Bratislava_Bratislava_Region.html","http://www.blue-bear.sk"
"Zilinska 3, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Cafe","Vegetarian Friendly",,,,,,,,,,,,,,"1350","600",,,"1350","600",,,"1350","600",,,"1350","600",,,"1350","600",,,"1350","600",,,"1350","600",,,"3389734","false","false","48.155247","17.111958","Esperienza Cafe Restaurant","32","+421 2/207 326 22","$$ - $$$","1180","253","#207 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d3389734-Reviews-Esperienza_Cafe_Restaurant-Bratislava_Bratislava_Region.html","http://www.esperienza.sk"
"Cilizska 1/A, Bratislava 821 07 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","European","Contemporary","Central European",,,,,,,,,,,,,"marketing@posedenienarohu.sk","1320","660",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1380","600",,,"1380","660",,,"8274292","false","false","48.14433","17.210142","Posedenie Na rohu","32","+421 944 767 099","$$ - $$$","1180","257","#211 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d8274292-Reviews-Posedenie_Na_rohu-Bratislava_Bratislava_Region.html","http://facebook.com/PosedenieNaRohu"
"Trnavska cesta 37, Bratislava 831 04 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,"1440","660",,,"1440","660",,,"1440","660",,,"1440","660",,,"1440","660",,,"1440","660",,,"1440","660",,,"3708864","false","false","48.16323","17.14374","Ciao Pizzeria","41","+421 2/443 733 67","$$ - $$$","1180","251","#205 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d3708864-Reviews-Ciao_Pizzeria-Bratislava_Bratislava_Region.html","http://pizzeriaciao.sk"
"Dunajska 34 Possonium street food and cafe, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Fusion","Healthy","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12827471","false","false","48.145306","17.117779","Made With Laf","21",,"$$ - $$$","1180","256","#210 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d12827471-Reviews-Made_With_Laf-Bratislava_Bratislava_Region.html",
"Jozefska 19, Bratislava 811 06 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Indonesian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"andi.wilian@restauraciamakan.sk",,,,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","0",,,"12442648","false","false","48.15063","17.11081","Makan","25","+421 904 449 537","$$ - $$$","1180","254","#208 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d12442648-Reviews-Makan-Bratislava_Bratislava_Region.html","http://restauraciamakan.sk/"
"Gorkeho 5, Bratislava 811 01 Slovakia","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Wine Bar","Mediterranean",,,,,,,,,,,,,"osteria@osteriaopera.sk",,,,,"1500","660",,,"1500","660",,,"1500","660",,,"1500","660",,,"1500","660",,,"1500","660",,,"7341075","false","false","48.142776","17.110872","Osteria Dell'Opera","56","+421 911 602 850","$$ - $$$","1180","252","#206 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d7341075-Reviews-Osteria_Dell_Opera-Bratislava_Bratislava_Region.html","http://www.osteriaopera.sk"
"Kamenne Namestie 1/a, Bratislava 811 06 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Street Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13138647","false","false","48.145348","17.11396","Bratislavske Langose","7","+421 911 884 487","","1180","452","#376 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d13138647-Reviews-Bratislavske_Langose-Bratislava_Bratislava_Region.html","https://www.facebook.com/BratislavskeLangose/"
"Obchodna, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1112134","false","false","48.14689","17.10893","Bella Napoli","80","+421 2/544 120 10","$$ - $$$","1180","455","#379 of 1,268 Restaurants in Bratislava","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d1112134-Reviews-Bella_Napoli-Bratislava_Bratislava_Region.html",
"Bezrucova street no.8 kúsok od Šafárikovho námesta, Bratislava 811 09 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Central European","European","Czech","Eastern European",,,,,,,,,,,,,,,,,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"720","480",,,"1320","900",,,"2470835","false","false","48.14198","17.117693","Tempus Art Club","9","+421 903 739 738","$$ - $$$","1180","453","#377 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d2470835-Reviews-Tempus_Art_Club-Bratislava_Bratislava_Region.html","http://www.facebook.com/tempus.sk/"
"Vilova 4, Bratislava 851 02 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Brew Pub","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14802755","false","false","48.123966","17.097012","Pivovar Hops","5","+421 905 722 870","","1180","451","#375 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d14802755-Reviews-Pivovar_Hops-Bratislava_Bratislava_Region.html","http://www.pivovarhops.sk"
"Obchodna 37, Bratislava 811 06 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Grill",,,,,,,,,,,,,,,"kebabco@kebabco.sk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16851561","false","false","48.14798","17.111197","The Kebab & Co","5","+421 917 772 432","","1180","454","#378 of 1,268 Restaurants in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d16851561-Reviews-The_Kebab_Co-Bratislava_Bratislava_Region.html","http://www.kebabco.sk/"
"Rebarborova 1/A, Bratislava Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Eastern European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2631741","false","false","48.14494","17.19016","Harley Saloon","10",,"$","1180","456","#380 of 1,268 Restaurants in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d2631741-Reviews-Harley_Saloon-Bratislava_Bratislava_Region.html","http://www.harley.sk/"
"Puchovska 12, Bratislava 831 06 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,"1320","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"8088815","false","false","48.214077","17.162836","Elephant Diner","43","+421 911 128 706","$$ - $$$","1180","255","#209 of 1,268 Restaurants in Bratislava","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d8088815-Reviews-Elephant_Diner-Bratislava_Bratislava_Region.html","http://www.elephantdiner.sk/"
"Spitalska 4, Bratislava 811 08 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,"lumiere@kafehaus.sk","1320","900",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","900",,,"10637369","false","false","48.1469","17.11582","KafeHaus Kino Lumiere","7","+421 903 430 934","","1180","458","#40 of 61 Dessert in Bratislava","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d10637369-Reviews-KafeHaus_Kino_Lumiere-Bratislava_Bratislava_Region.html","http://www.kafehaus.sk/"
"Panenska 683/34, Bratislava 811 03 Slovakia",,,,,,,,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,,,,,,,"info@marinela.sk",,,,,"1110","660",,,"1110","660",,,"1110","660",,,"1110","660",,,"1110","660",,,,,,,"17380132","false","false","48.14805","17.10629","Marinela","5","+421 905 666 466","$","1180","459","#41 of 61 Dessert in Bratislava","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274924-d17380132-Reviews-Marinela-Bratislava_Bratislava_Region.html","http://marinela.sk"
