"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","hours/6/3/close","hours/6/3/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Place Reine Astrid 34, Jette, Brussels 1090 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","French","European","International",,,,,,,,"info@wineinthecity.be",,,,,,,,,,,,,,,,,,,"1200","660",,,,,"1200","660",,,,,"1290","660",,,,,"1290","660",,,,,,,"2458076","false","false","50.872223","4.324104","Wine in the City","161","+32 2 420 09 20","$$$$","3533","110","#101 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g950784-d2458076-Reviews-Wine_in_the_City-Jette_Brussels.html","http://wineinthecity.be/fr"
"Chaussee de Vleurgat 142, Brussels 1000 Belgium","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","American","Vegetarian Friendly","Vegan Options",,,,,,,,"green.mango.brussels@gmail.com","1260","1050",,,,,"870","720","1320","1110",,,"870","720","1320","1110",,,"870","720","1320","1110",,,"870","720","1320","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,,,"7209624","false","false","50.823116","4.367297","Green Mango (Ixelles)","628","+32 2 649 90 13","$$ - $$$","3533","101","#93 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d7209624-Reviews-Green_Mango_Ixelles-Brussels.html","http://greenmango.be"
"Rue Veydt 50 1050 Ixelles, Brussels 1050 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Italian","European","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"900","720","1350","1140",,,"900","720","1350","1140",,,"900","720","1350","1140",,,"900","720","1350","1140",,,"900","720","1350","1140",,,"1350","1140",,,,,,,"3653950","false","false","50.828934","4.358333","Ciao Bella","213","+32 2 538 57 17","$$ - $$$","3533","107","#99 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d3653950-Reviews-Ciao_Bella-Brussels.html","http://www.ristoranteciaobella.be"
"Chaussee d'Alsemberg 541, Brussels 1180 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Steakhouse","Barbecue","Grill","Argentinean",,,,,,,"uccle@meetmeat.be",,,,,,,,,,,,,"870","720","1320","1140",,,"870","720","1320","1140",,,"870","720","1320","1140",,,"870","720","1380","1140",,,"1380","1140",,,,,,,"7993417","false","false","50.81005","4.337504","Meet Meat Uccle","191","+32 2 219 16 52","$$ - $$$","3533","106","#98 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d7993417-Reviews-Meet_Meat_Uccle-Brussels.html","http://Meetmeat.be"
"Rue du Luxembourg 62-64, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Seafood","Mediterranean","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5027104","false","false","50.839317","4.37192","Fishbar Noordzee Mer du Nord","160","+32 2 280 05 00","$","3533","108","#5 of 76 Quick Bites in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d5027104-Reviews-Fishbar_Noordzee_Mer_du_Nord-Brussels.html",
"Rue du Marche aux Fromages 6, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Fast Food","Mediterranean","Greek","Vegetarian Friendly",,,,,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,,,"2586930","false","false","50.84589","4.352864","Snack Plaka","480","+32 2 511 21 27","$","3533","102","#94 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d2586930-Reviews-Snack_Plaka-Brussels.html","http://www.snackplaka.be/index.html"
"Galerie du Roi 6, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Belgian","European","Gluten Free Options",,,,,,,,"info@comptoirdesgaleries.be",,,,,,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"1320","1140",,,,,,,"7098359","false","false","50.847946","4.355077","Comptoir des Galeries","277","+32 2 213 74 70","$$$$","3533","103","#95 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d7098359-Reviews-Comptoir_des_Galeries-Brussels.html","http://www.comptoirdesgaleries.be/"
"Rue du Pont de la Carpe 13, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Italian","Pizza","Mediterranean","Neapolitan","Campania","Sicilian","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options","info@spagobrussels.com","1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1440","720",,,,,"1440","720",,,,,,,"2721902","false","false","50.848774","4.34773","Spago","1059","+32 2 512 25 30","$$ - $$$","3533","104","#96 of 3,627 Restaurants in Brussels","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d2721902-Reviews-Spago-Brussels.html","http://www.spagobrussels.be/"
"Chaussee de Waterloo 375, Ixelles, Brussels 1050 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Mediterranean","Fusion","French","European","Vegetarian Friendly","Gluten Free Options",,,,,"info@mororesto.be",,,,,,,,,,,,,"885","720",,,,,"885","720","1335","1110",,,"885","720","1335","1110",,,"885","720","1335","1110",,,"1350","1110",,,,,,,"10076097","false","false","50.82223","4.35454","Moro","88","+32 2 219 95 89","$$$$","3533","109","#100 of 3,627 Restaurants in Brussels","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g1136493-d10076097-Reviews-Moro-Ixelles_Brussels.html","http://www.facebook.com/mororesto/"
"Rue des Bouchers 43 Galerie de la Reine 38, Brussels 1000 Belgium","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","French","Belgian","European","Vegetarian Friendly","Gluten Free Options",,,,,,"info@lemarmiton.be","1410","720",,,,,"900","720","1410","1080",,,"900","720","1410","1080",,,"900","720","1410","1080",,,"900","720","1410","1080",,,"900","720","1410","1080",,,"1410","720",,,,,,,"1992202","false","false","50.847755","4.354794","Le Marmiton","1785","+32 2 511 79 10","$$ - $$$","3533","105","#97 of 3,627 Restaurants in Brussels","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188644-d1992202-Reviews-Le_Marmiton-Brussels.html","http://www.lemarmiton.be"
