"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Corvin Setany 2, Budapest 1082 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","American","Steakhouse","Barbecue","European",,,,,,,,,,,"loveme@tuning.buzz","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"17514893","false","false","47.485935","19.075972","Love Meat Tuning","227","+36 20 297 4334","$$ - $$$","3271","58","#44 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d17514893-Reviews-Love_Meat_Tuning-Budapest_Central_Hungary.html","http://love.meat.tuning.buzz"
"Akacfa utca 45, Budapest 1072 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","Neapolitan","Campania","Southern-Italian","Street Food","Vegetarian Friendly","Vegan Options",,,,,,"info@bellidimamma.hu","1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"16719161","false","false","47.50015","19.0658","Belli di Mamma","471","+36 1 951 3969","$$ - $$$","3271","55","#42 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d16719161-Reviews-Belli_di_Mamma-Budapest_Central_Hungary.html","http://www.bellidimamma.hu"
"Kiralyi Pal utca 14., Budapest 1053 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,"restaurant","European","Healthy","Central European","Hungarian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"info@borsso.hu",,,,,,,,,,,,,,,,,,,,,,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"1494108","false","false","47.489662","19.059578","Borsso Bistro","2357","+36 1 789 0975","$$ - $$$","3271","51","#39 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d1494108-Reviews-Borsso_Bistro-Budapest_Central_Hungary.html","http://www.borsso.hu/en/"
"Raday utca 53., Budapest 1092 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Cafe","European","Healthy","Hungarian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"nandoricukraszda@nandori.hu",,,,,,,"1140","450",,,,,"1140","450",,,,,"1140","450",,,,,"1140","450",,,,,"1140","450",,,,,"1140","450",,,,,"6413311","false","false","47.4826","19.066442","Nandori Cukraszda","289","+36 70 977 0100","$$ - $$$","3271","54","#4 of 215 Dessert in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d6413311-Reviews-Nandori_Cukraszda-Budapest_Central_Hungary.html","http://www.nandori.hu"
"Rakoczi ut 47-49. 1-minute walk from Blaha Lujza tér, Budapest 1088 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","European","Hungarian","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@hauercukraszda.hu","1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"2710558","false","false","47.497726","19.072731","Hauer","371","+36 1 612 1313","$$ - $$$","3271","56","#43 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2710558-Reviews-Hauer-Budapest_Central_Hungary.html","http://hauercukraszda.hu/en"
"Dob Utca 16 Building 7, Budapest 1072 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","Eastern European","Hungarian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15866420","false","false","47.497917","19.060324","Gozsdu Bistro","553","+36 20 242 8542","$$ - $$$","3271","59","#45 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d15866420-Reviews-Gozsdu_Bistro-Budapest_Central_Hungary.html","https://www.facebook.com/gozsdubistro/"
"Klauzal utca 13., Budapest 1072 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Hungarian","International","European","Central European","Vegetarian Friendly",,,,,,,,,,"restaurant@barackesszilva.hu",,,,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"9832184","false","false","47.497894","19.066921","Barack & Szilva Restaurant","1249","+36 1 798 8285","$$ - $$$","3271","53","#41 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d9832184-Reviews-Barack_Szilva_Restaurant-Budapest_Central_Hungary.html","http://www.barackesszilva.hu/"
"Rakoczi ter 7, Budapest 1084 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Healthy","Wine Bar","Central European","Tuscan","Central-Italian","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"oinos.budapest@gmail.com","1380","720",,,,,,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"7106310","false","false","47.492588","19.072723","Oinos WineBar Bistrot","1158","+36 70 770 9803","$$ - $$$","3271","52","#40 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7106310-Reviews-Oinos_WineBar_Bistrot-Budapest_Central_Hungary.html","http://oinos.hu"
"Wesselenyi utca 31., Budapest 1077 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Street Food","Fast Food","Central European",,,,,,,,,,,,"info@tolto.net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1350","690",,,,,"1350","690",,,,,"8621639","false","false","47.49883","19.06599","ToLTo","1024","+36 30 906 9152","$","3271","60","#6 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d8621639-Reviews-ToLTo-Budapest_Central_Hungary.html","http://www.tolto.net/en"
"Magyar utca 52 Calvin Ter, Budapest 1053 Hungary","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","American","Fast Food",,,,,,,,,,,,,"buddies.budapest@gmail.com",,,,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"8788264","false","false","47.490314","19.061073","Buddies Burger","275","+36 30 937 9606","$","3271","57","#5 of 153 Quick Bites in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d8788264-Reviews-Buddies_Burger-Budapest_Central_Hungary.html","http://facebook.com/Buddies.Budapest"
