"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","cuisine/15","cuisine/16","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Skt. Peders Straede 34, Copenhagen 1453 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Scandinavian","Healthy","Danish","Contemporary","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"vaekst@cofoco.dk","1440","1050",,,,,"885","720","1440","1050",,,"885","720","1440","1050",,,"885","720","1440","1050",,,"885","720","1440","1050",,,"885","720","1440","1050",,,"885","720","1440","1050",,,"10453311","false","false","55.6788","12.566957","Vaekst","639","+45 38 41 27 27","$$$$","2486","60","#54 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d10453311-Reviews-Vaekst-Copenhagen_Zealand.html","http://cofoco.dk/restauranter/vaekst/"
"Refshalevej 96, Copenhagen 1432 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Contemporary","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,"noma@noma.dk",,,,,,,,,,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1140","690",,,,,"694971","false","false","55.68283","12.610479","Noma","1710","+45 32 96 32 97","$$$$","2486","54","#49 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d694971-Reviews-Noma-Copenhagen_Zealand.html","http://www.noma.dk"
"Abel Cathrines Gade 7, Copenhagen 1654 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Scandinavian","Danish","Contemporary","Gastropub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"info@cofoco.dk",,,,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"1440","1050",,,,,"694977","false","false","55.671722","12.55859","Cofoco","1116","+45 33 13 60 60","$$ - $$$","2486","51","#46 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d694977-Reviews-Cofoco-Copenhagen_Zealand.html","http://www.cofoco.dk/"
"Oster Farimagsgade 4, Copenhagen 2100 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","European","Scandinavian","Danish","Vegetarian Friendly",,,,,,,,,,,,,,"underuret28353510@gmail.com","960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"6731592","false","false","55.689465","12.575","Restaurant Under Uret","184","+45 28 35 35 10","$$ - $$$","2486","57","#51 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d6731592-Reviews-Restaurant_Under_Uret-Copenhagen_Zealand.html","http://restaurantunderuret.dk"
"H.C. Oersteds Vej 50 D, Copenhagen 1879 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Nepali","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,"info@nepalibhancha.dk","1320","720",,,,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"1320","720",,,,,"7827856","false","false","55.68239","12.550138","Restaurant Nepali Bhancha","240","+45 35 35 51 41","$$ - $$$","2486","52","#47 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d7827856-Reviews-Restaurant_Nepali_Bhancha-Copenhagen_Zealand.html","http://www.nepalibhancha.dk"
"Eskildsgade 13, Copenhagen 1657 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Danish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"madglad1cafeteria@gmail.com",,,,,,,"1260","990",,,,,"1260","990",,,,,"1260","990",,,,,"1260","990",,,,,"1260","990",,,,,"1200","960",,,,,"10470875","false","false","55.670685","12.555624","Madglad","188","+45 50 12 56 58","$","2486","56","#5 of 177 Quick Bites in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d10470875-Reviews-Madglad-Copenhagen_Zealand.html","http://www.madglad.net/"
"Graabroedretorv 17, Copenhagen 1154 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","European","Grill","Danish","American","Bar","Diner",,,,,,,,,,,,"info@sporvejen.dk","1320","720",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"1393513","false","false","55.679707","12.575636","Sporvejen","1056","+45 33 13 31 01","$","2486","59","#53 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d1393513-Reviews-Sporvejen-Copenhagen_Zealand.html","http://www.sporvejen.dk/"
"Gothersgade 87 Basement, Copenhagen 1123 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","European","Scandinavian","Danish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"restaurant@gardencph.dk","1440","720",,,,,,,,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","720",,,,,"12454509","false","false","55.68335","12.57827","Garden Restaurant & Wine bar","195","+45 60 22 44 55","$$ - $$$","2486","55","#50 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d12454509-Reviews-Garden_Restaurant_Wine_bar-Copenhagen_Zealand.html","http://gardencph.dk"
"Wildersgade 52, Copenhagen Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","European","Wine Bar","Danish","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,"1439","690",,,,,"1439","690",,,,,"1439","690",,,,,"1439","690",,,,,"1439","690",,,,,"1439","690",,,,,"5037261","false","false","55.673985","12.591411","Sankt Annae 8","220","+45 25 97 46 00","$$ - $$$","2486","58","#52 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d5037261-Reviews-Sankt_Annae_8-Copenhagen_Zealand.html","http://www.sanktannae8.com/"
"Amaliegade 11, Copenhagen 1256 Denmark","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","European","Scandinavian","Danish","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"info@restaurantamalie.dk",,,,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"960","690",,,,,"694976","false","false","55.68273","12.592147","Restaurant Amalie","432","+45 33 12 88 10","$$ - $$$","2486","53","#48 of 2,353 Restaurants in Copenhagen","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189541-d694976-Reviews-Restaurant_Amalie-Copenhagen_Zealand.html","http://www.restaurantamalie.dk"
