"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","cuisine/15","cuisine/16","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"18 Temple Bar, Dublin D02 HY86 Ireland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,,,,,,,"restaurant","American","Irish","Bar","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"templebar@elephantandcastle.ie","1410","630",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","480",,,,,"1410","630",,,,,"696218","false","false","53.34564","-6.262191","Elephant & Castle Temple Bar","3442","+353 1 533 7563","$$ - $$$","2493","457","#406 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d696218-Reviews-Elephant_Castle_Temple_Bar-Dublin_County_Dublin.html","http://www.elephantandcastle.ie"
"16 Anne Street South, Dublin D02 VF29 Ireland","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,"sas@coffeeangel.com","1020","600",,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"1080","420",,,,,"1080","420",,,,,"1080","540",,,,,"3977955","false","false","53.34105","-6.258815","Coffeeangel SAS","115","+353 1 969 6001","$","2493","458","#32 of 247 Quick Bites in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d3977955-Reviews-Coffeeangel_SAS-Dublin_County_Dublin.html","http://coffeeangel.com/locations/sas"
"129 Capel Street Dublin 1, Dublin D01 YN83 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","Irish","Bar","European","Pub","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,"1470","600",,,,,"1470","420",,,,,"1470","420",,,,,"1470","420",,,,,"1470","420",,,,,"1530","420",,,,,"1440","360",,,,,"716000","false","false","53.34832","-6.268708","Slattery's Bar","222","+353 1 872 7971","$$ - $$$","2493","456","#405 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d716000-Reviews-Slattery_s_Bar-Dublin_County_Dublin.html","http://www.slatterysbar.ie"
"5 Gallery Quay Grand Canal Harbour, Dublin Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,"restaurant","Italian","Cafe","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"info@ilvalentino.ie","1080","540",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1140","420",,,,,"1080","540",,,,,"2561288","false","false","53.342575","-6.238958","il Valentino","300","+353 1 633 1100","$$ - $$$","2493","452","#12 of 35 Bakeries in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d2561288-Reviews-Il_Valentino-Dublin_County_Dublin.html","http://www.ilvalentino.ie/"
"208 Lower Rathmines Rd, Dublin Ireland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Neapolitan","Campania","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"manifestobookings@gmail.com","1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1069495","false","false","53.323807","-6.265417","Manifesto","443","+353 1 496 8096","$$ - $$$","2493","459","#407 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d1069495-Reviews-Manifesto-Dublin_County_Dublin.html","http://manifestorestaurant.ie/"
"Gainsboro House 24 Suffolk Street, Dublin D02 KF65 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,,,,,,"DublinSuffolkSt@zizzi.ie","1260","780",,,,,"1260","960",,,,,"1260","960",,,,,"1260","960",,,,,"1260","960",,,,,"1260","960",,,,,"1260","780",,,,,"12270048","false","false","53.343426","-6.260216","Zizzi","300","+353 1 675 0841","$$ - $$$","2493","460","#408 of 2,357 Restaurants in Dublin","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d12270048-Reviews-Zizzi-Dublin_County_Dublin.html","https://www.zizzi.co.uk/"
"1 Meath Mart Meath Street The Liberties Dublin 8, Dublin D08 XHT7 Ireland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Deli","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"info@legitcoffeeco.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10427763","false","false","53.34131","-6.278603","LEGIT COFFEE CO","103","+353 1 473 4574","$","2493","454","#27 of 230 Coffee & Tea in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d10427763-Reviews-LEGIT_COFFEE_CO-Dublin_County_Dublin.html","http://www.legitcoffeeco.com/#legitcoffeeco"
"10 Harcourt Street, Dublin D02 X259 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"info@diluca.ie","1320","1020",,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1380","1020",,,,,"12081773","false","false","53.33683","-6.26339","Di Luca Restaurant","108","+353 1 475 8385","$$ - $$$","2493","455","#404 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d12081773-Reviews-Di_Luca_Restaurant-Dublin_County_Dublin.html","http://www.diluca.ie"
"7 st Andrews Street, Dublin D02C890 Ireland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly",,,,,,,,,,,,,,"info@sushida.ie","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1380","720",,,,,"15212352","false","false","53.343212","-6.261944","Sushida St Andrews Street","40","+353 67 78790","$$ - $$$","2493","451","#403 of 2,357 Restaurants in Dublin","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d15212352-Reviews-Sushida_St_Andrews_Street-Dublin_County_Dublin.html","http://www.sushida.ie"
"1 Merrion Row, Dublin D02 HY07 Ireland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Irish","Bar","European","Pub","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,"events@foleys.ie","1410","900",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1410","720",,,,,"1440","720",,,,,"1440","720",,,,,"1937593","false","false","53.338314","-6.253849","Foley's Dublin","293","+353 1 661 0115","$$ - $$$","2493","206","#187 of 2,357 Restaurants in Dublin","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186605-d1937593-Reviews-Foley_s_Dublin-Dublin_County_Dublin.html","http://www.foleys.ie"
