"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"77 George Street 1st Floor, Edinburgh EH2 3ES Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Seafood","Mediterranean","European","Spanish","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"info@cadizedinburgh.co.uk","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1350","720",,,,,"1350","720",,,,,"10540651","false","false","55.95287","-3.20115","Cadiz","663","+44 131 226 3000","$$ - $$$","2181","203","#179 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10540651-Reviews-Cadiz-Edinburgh_Scotland.html","http://www.cadizedinburgh.co.uk/"
"22 Union Place, Edinburgh EH1 3NQ Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Spanish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"lasaledinburgh@gmail.com","1200","1020",,,,,,,,,,,,,,,,,,,,,,,"1200","1020",,,,,"1200","1020",,,,,"1200","1020",,,,,"4037819","false","false","55.9574","-3.185746","Lasal","393","+44 131 556 7771","$$ - $$$","2181","206","#182 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d4037819-Reviews-Lasal-Edinburgh_Scotland.html","http://www.lasal.co.uk"
"Corstorphine Road 3/4 Downie Terrace, Edinburgh EH12 7AU Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"1260","1020",,,,,,,,,,,,,,,,,"1260","1020",,,,,"1260","1020",,,,,"1290","1020",,,,,"1290","1020",,,,,"2264344","false","false","55.94227","-3.267147","Cool Jade","926","+44 131 334 3823","$$ - $$$","2181","207","#183 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2264344-Reviews-Cool_Jade-Edinburgh_Scotland.html","http://www.cooljade.co.uk/"
"2 Glasgow Road Corstorphine, Edinburgh EH12 8HL Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2013","2013",,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"chinesemanorhouse@yahoo.co.uk","1350","1020",,,,,"840","720","1350","1050",,,"840","720","1350","1050",,,"840","720","1350","1050",,,"840","720","1350","1050",,,"840","720","1380","1050",,,"840","720","1380","1020",,,"2432331","false","false","55.942814","-3.293769","The Chinese Manor House Edinburgh","527","+44 131 334 9545","$$ - $$$","2181","201","#177 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2432331-Reviews-The_Chinese_Manor_House_Edinburgh-Edinburgh_Scotland.html","http://www.chinesemanorhouse.com/"
"55-57 Thistle Street, Edinburgh EH2 1DY Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Wine Bar","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"info@bonvivantedinburgh.co.uk","1320","720",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","960",,,,,"1320","720",,,,,"1588336","false","false","55.95395","-3.199743","The Bon Vivant","714","+44 131 225 3275","$$ - $$$","2181","204","#180 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1588336-Reviews-The_Bon_Vivant-Edinburgh_Scotland.html","http://bonvivantedinburgh.co.uk/"
"5 Hunter Square, Edinburgh EH1 1QW Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Italian","Pizza","Street Food","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@civerinos.com","1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"7305024","false","false","55.949776","-3.187644","Civerinos","771","+44 131 220 0851","$$ - $$$","2181","208","#184 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d7305024-Reviews-Civerinos-Edinburgh_Scotland.html","http://www.civerinos.com/story/"
"172 Rose Street, Edinburgh EH2 4BA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Italian","Pizza","Fast Food","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"orders@dough-pizza.co.uk","1320","900",,,,,"1320","900",,,,,"1320","900",,,,,"1320","900",,,,,"1320","900",,,,,"1380","720",,,,,"1380","720",,,,,"8440033","false","false","55.951527","-3.204225","Dough Pizzeria","382","+44 131 225 1588","$","2181","210","#12 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d8440033-Reviews-Dough_Pizzeria-Edinburgh_Scotland.html","http://dough-pizza.co.uk"
"23-24 Sandport Place, Edinburgh EH6 6EW Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Bar","Pub","Scottish","Gastropub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@roseleaf.co.uk","1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1440","600",,,,,"1440","600",,,,,"2018218","false","false","55.97599","-3.173391","Roseleaf Bar Cafe","1162","+44 131 476 5268","$$ - $$$","2181","102","#90 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2018218-Reviews-Roseleaf_Bar_Cafe-Edinburgh_Scotland.html","http://www.roseleaf.co.uk/"
"19 Colinton Road, Edinburgh EH10 5DP Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","French","European","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@biabistrot.co.uk",,,,,,,,,,,,,"840","720","1320","1020",,,"840","720","1320","1020",,,"840","720","1320","1020",,,"840","720","1320","1020",,,"840","720","1320","1020",,,"1928310","false","false","55.933815","-3.210916","Bia Bistrot","631","+44 131 452 8453","$$ - $$$","2181","51","#45 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1928310-Reviews-Bia_Bistrot-Edinburgh_Scotland.html","http://www.biabistrot.co.uk/"
"267 Canongate, Edinburgh EH8 8BQ Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","European","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@wedgwoodtherestaurant.co.uk","840","720","1320","1020",,,,,,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"840","720","1320","1020",,,"840","720","1320","1020",,,"815708","false","false","55.950726","-3.183359","Wedgwood The Restaurant","2280","+44 131 558 8737","$$$$","2181","53","#47 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d815708-Reviews-Wedgwood_The_Restaurant-Edinburgh_Scotland.html","http://www.wedgwoodtherestaurant.co.uk/"
