"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"rue du Village 53, Vernier, Geneva 1214 Switzerland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","French","Swiss","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@cafedeletoile.ch",,,,,,,"870","600","1380","1050",,,"870","600","1380","1050",,,"870","600","1380","1050",,,"870","600","1380","1050",,,"870","600","1440","1050",,,,,,,,,"3737659","false","false","46.213036","6.081339","Cafe de l'etoile","72","+41 22 341 33 32","$$ - $$$","1550","108","#103 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g4346525-d3737659-Reviews-Cafe_de_l_etoile-Vernier_Geneva.html","http://www.cafedeletoile.ch/"
"boulevard Carl-Vogt 79, Geneva 1205 Switzerland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","French","European","Steakhouse",,,,,,,,"patrick@entrecotesaintjean.ch",,,,,,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"1320","720",,,,,"840","720","1320","1140",,,"1320","1170",,,,,"808141","false","false","46.196632","6.138455","L'Entrecote St-Jean","102","+41 22 321 99 41","$$ - $$$","1550","103","#98 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d808141-Reviews-L_Entrecote_St_Jean-Geneva.html","http://www.entrecotesaintjean.ch/"
"chemin Louis-Dunant 13, Geneva 1202 Switzerland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Moroccan","Mediterranean","Pizza","Dining bars","Vegetarian Friendly",,,,,"info@mama-zita.ch",,,,,,,"840","690","1320","1020",,,"840","690","1320","1020",,,"840","690","1320","1020",,,"840","690","1320","1020",,,"840","690","1320","1020",,,,,,,,,"19975985","false","false","46.21951","6.137138","Mama & Zita","46","+41 22 303 70 20","$$ - $$$","1550","110","#105 of 1,611 Restaurants in Geneva","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d19975985-Reviews-Mama_Zita-Geneva.html","http://mama-zita.ch"
"boulevard Carl-Vogt 63, Geneva 1205 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Japanese","Asian","Soups","Vegetarian Friendly",,,,,,,,,,,,,,"840","690","1320","1110",,,"840","690","1320","1110",,,"840","690","1320","1110",,,"840","690","1320","1110",,,"840","690","1320","1110",,,"840","690","1320","1110",,,"13112896","false","false","46.197903","6.136097","Umamido","109","+41 22 808 00 77","$$ - $$$","1550","207","#198 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d13112896-Reviews-Umamido-Geneva.html","http://www.umamido.ch/"
"quai du Mont-Blanc 19, Geneva 1201 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,"restaurant","Italian","European","Mediterranean","Vegetarian Friendly",,,,,,,"floortwo.grandhotelgeneva@kempinski.com","870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"1370538","false","false","46.209846","6.150742","Il Vero Restaurant","264","+41 22 908 92 24","$$$$","1550","205","#196 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d1370538-Reviews-Il_Vero_Restaurant-Geneva.html","http://www.kempinski.com/en/geneva/grand-hotel-geneva/dining/restaurants/il-vero/"
"route de Lausanne 301 Bellevue, Genève, Geneva 1293 Switzerland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","French","European","Vegan Options",,,,,,,,"leloti@lareserve.ch","960","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"2618063","false","false","46.250465","6.149717","Le Loti","182","+41 22 959 59 79","$$$$","1550","102","#97 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d2618063-Reviews-Le_Loti-Geneva.html","http://www.lareserve.ch/fr/restaurants-et-bars-gastronomique-geneve/loti/"
"rue Micheli-du-Crest 6, Geneva 1205 Switzerland","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","French","European",,,,,,,,,,,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1440","1140",,,,,"812011","false","false","46.195675","6.146558","Le Socrate","289","+41 78 664 67 78","$$ - $$$","1550","206","#197 of 1,611 Restaurants in Geneva","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d812011-Reviews-Le_Socrate-Geneva.html","http://www.lesocrate.ch"
"8, Chemin du 23-aout Tram 14 : arrêt Palladium / Parking des Gazomètres, Geneva 1205 Switzerland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Fusion","Vegetarian Friendly",,,,,,,"eat@baosteamkitchen.com",,,,,,,,,,,,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"870","720","1350","1140",,,"15086893","false","false","46.20202","6.134317","BAO Steam Kitchen - Jonction","80","+41 22 808 09 39","$$ - $$$","1550","210","#201 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d15086893-Reviews-BAO_Steam_Kitchen_Jonction-Geneva.html","http://www.baosteamkitchen.com/"
"rue Henri-Blanvalet 12, Geneva 1207 Switzerland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Bar",,,,,,,,,,,,,,,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1560","1020",,,,,"1560","1020",,,,,"6914829","false","false","46.20304","6.158498","Bottle Brothers","91","+41 22 772 30 32","$$ - $$$","1550","208","#199 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d6914829-Reviews-Bottle_Brothers-Geneva.html","http://bottlebrothers.ch"
"Hotel N'vY rue de Richemont 18, Geneva 1202 Switzerland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,"nvy@manotel.com","1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"3859061","false","false","46.215508","6.148765","N'vY Bar","90","+41 22 544 66 66","$$ - $$$","1550","201","#193 of 1,611 Restaurants in Geneva","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188057-d3859061-Reviews-N_vY_Bar-Geneva.html","http://www.hotelnvygeneva.com/en/bars-restaurants/nvy-bar/"
