"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Silbersackstr. 9, 20359 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8765247","false","false","53.54894","9.959978","Zum Silbersack","62","+49 40 314589","$","3226","254","#229 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d8765247-Reviews-Zum_Silbersack-Hamburg.html","https://www.facebook.com/zumsilbersack1949/"
"Reeperbahn 50, 20359 Hamburg Germany","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","International","Grill","Vegetarian Friendly","Vegan Options",,,,,,"info@herzblut-st-pauli.de","1560","780",,,,,"1560","1020",,,,,"1560","1020",,,,,"1560","1020",,,,,"1560","1020",,,,,"1680","1020",,,,,"1680","780",,,,,"945269","false","false","53.549763","9.963956","Herzblut St. Pauli","300","+49 40 33396933","$$ - $$$","3226","255","#230 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d945269-Reviews-Herzblut_St_Pauli-Hamburg.html","http://www.herzblut-st-pauli.de"
"Kleiner Schaeferkamp 14, 20357 Hamburg Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Vietnamese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,"1320","720",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1320","690",,,,,"1380","690",,,,,"1380","1020",,,,,"3832396","false","false","53.567207","9.969064","Sapa - Cuisine du Vietnam","90","+49 40 68876680","$","3226","252","#227 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d3832396-Reviews-Sapa_Cuisine_du_Vietnam-Hamburg.html","http://sapahamburg.de"
"Holstenplatz 17, 22765 Hamburg Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","German","European","Central European","Vegetarian Friendly",,,,,,,,"info@anno1905.de","1320","1020",,,,,,,,,,,"1320","990",,,,,"1320","990",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"954462","false","false","53.56093","9.947842","Anno 1905","190","+49 40 4392535","$$ - $$$","3226","251","#226 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d954462-Reviews-Anno_1905-Hamburg.html","http://www.anno1905.de"
"Lange Reihe 2, 20099 Hamburg Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Thai","Vietnamese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2011466","false","false","53.55541","10.008499","an an Asia Food","87","+49 40 25497635","$","3226","260","#235 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d2011466-Reviews-An_an_Asia_Food-Hamburg.html","https://www.facebook.com/anan.hamburg/?ref=br_rs&rf=1390623404361101"
"Schmilinskystr. 19, 20099 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Wine Bar","Vegetarian Friendly","Vegan Options",,,,,,,,,"info@bistro-kleinod.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11883086","false","false","53.559376","10.012343","Bistro Kleinod","36","+49 40 46009797","$$ - $$$","3226","257","#232 of 3,262 Restaurants in Hamburg","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d11883086-Reviews-Bistro_Kleinod-Hamburg.html","http://www.bistro-kleinod.de/kontakt/"
"Platz der Deutschen Einheit 3 20457 Hamburg, 20457 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Contemporary","Vegetarian Friendly","Vegan Options",,,,,,,,,"info@stoertebeker-eph.com","1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"10794922","false","false","53.541485","9.983374","Stortebeker in der Elbphilharmonie","438","+49 40 60533810","$$ - $$$","3226","253","#228 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d10794922-Reviews-Stortebeker_in_der_Elbphilharmonie-Hamburg.html","http://www.stoertebeker-eph.com/"
"Colonnaden 104, 20354 Hamburg Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Mediterranean","European",,,,,,,,,,,,,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,,,,,,,"5262321","false","false","53.557644","9.989992","Fischfeinkost Delikatessen des Meeres","44","+49 40 36314","$","3226","258","#233 of 3,262 Restaurants in Hamburg","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d5262321-Reviews-Fischfeinkost_Delikatessen_des_Meeres-Hamburg.html","https://www.facebook.com/pages/Fischfeinkost-Delikatessen-des-Meeres/155853324445574"
"Colonnaden 96, 20354 Hamburg Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014","Certificate of Excellence 2011","2011",,,,,,,,,,,,,"restaurant","Japanese","Seafood","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"718210","false","false","53.55737","9.990202","Matsumi","200","+49 40 343125","$$$$","3226","259","#234 of 3,262 Restaurants in Hamburg","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d718210-Reviews-Matsumi-Hamburg.html","https://www.facebook.com/Matsumi.hamburg/"
"Gertigstrasse 57, 22303 Hamburg Germany","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food","Barbecue","Street Food","Vegetarian Friendly",,,,,,,"info@dulfsburger.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15531830","false","false","53.582718","10.017147","Dulf’s Burger","37","+49 40 30725939","$$ - $$$","3226","357","#327 of 3,262 Restaurants in Hamburg","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187331-d15531830-Reviews-Dulf_s_Burger-Hamburg.html","http://dulfsburger.de/"
