"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Runeberginkatu 31, Helsinki 00100 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly",,,,,,,,,,,"myynti@cafetoria.fi",,,,,"1110","510",,,,,"1110","510",,,,,"1110","510",,,,,"1110","510",,,,,"1110","510",,,,,"1020","660",,,,,"3901837","false","false","60.1732","24.923006","Cafetoria roastery","158","+358 10 4235570","$$ - $$$","1558","2","#1 of 111 Quick Bites in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d3901837-Reviews-Cafetoria_roastery-Helsinki_Uusimaa.html","http://www.cafetoria.fi"
"Vattuniemen puistotie 1, Helsinki 00210 Finland",,,,,,,,,,,,,,,,,,,,,"restaurant","Scandinavian",,,,,,,,,,,,"ravintola@bluepeter.fi",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1380","660",,,,,"1380","720",,,,,"779373","false","false","60.151714","24.89163","Blue Peter Seaside Restaurant","97","+358 10 4249801","","1558","616","#490 of 1,507 Restaurants in Helsinki","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d779373-Reviews-Blue_Peter_Seaside_Restaurant-Helsinki_Uusimaa.html","http://www.bluepeter.fi/"
"Mannerheimintie 168 B, Helsinki 00300 Finland",,,,,,,,,,,,,,,,,,,,,"restaurant","Nepali","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,,"1350","720",,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","630",,,,,"1350","720",,,,,"5953316","false","false","60.20272","24.89872","Ravintola Gurans","44","+358 9 4546181","$","1558","259","#202 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d5953316-Reviews-Ravintola_Gurans-Helsinki_Uusimaa.html","http://www.ravintolagurans.fi"
"Suomenlinna C8, Helsinki 00190 Finland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","European","Bar","Scandinavian","Vegan Options",,,,,,,,,"bistro@bastion.fi","1080","690",,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1350","690",,,,,"1350","690",,,,,"1350","690",,,,,"10763206","false","false","60.14827","24.98319","Bastion Bistro","94","+358 40 1799890","$$ - $$$","1558","258","#201 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d10763206-Reviews-Bastion_Bistro-Helsinki_Uusimaa.html","http://www.facebook.com/bastionbistro"
"Tehtaankatu 27-29, Helsinki 00150 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9738731","false","false","60.157803","24.934328","Baskeri & Basso","287","+358 50 4673400","$$ - $$$","1558","1","#1 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d9738731-Reviews-Baskeri_Basso-Helsinki_Uusimaa.html","http://www.basbas.fi"
"Kasarmikatu 26, Helsinki 00130 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","European","Scandinavian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@spis.fi",,,,,,,,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"2569524","false","false","60.163624","24.947996","Spis","234","+358 45 3051211","$$$$","1558","3","#2 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d2569524-Reviews-Spis-Helsinki_Uusimaa.html","http://spis.fi/"
"Etelaranta 20, Helsinki 00130 Finland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Seafood","European",,,,,,,,,,,"info@finlandiacaviar.fi",,,,,"1200","660",,,,,"1200","660",,,,,"1260","660",,,,,"1260","660",,,,,"1320","660",,,,,"1320","660",,,,,"7346196","false","false","60.16717","24.952295","Finlandia Caviar","262","+358 10 5817810","$$$$","1558","5","#4 of 1,507 Restaurants in Helsinki","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d7346196-Reviews-Finlandia_Caviar-Helsinki_Uusimaa.html","http://www.finlandiacaviar.fi"
"Kluuvikatu 4, Helsinki 00100 Finland",,,,,,,,,,,,,,,,,,,,,"restaurant","Steakhouse","International","Street Food","Fusion","European","Vegan Options","Vegetarian Friendly",,,,,,"thetray@thetray.fi","720","450","1350","1080","600","390","810","660","1350","1020","600","390","810","660","1350","1020","600","390","810","660","1350","1020","600","390","810","660","1350","1020","600","390","810","660","1350","1020","720","450","1350","1020",,,"12994238","false","false","60.168507","24.947311","The TRAY","80","+358 50 5765792","$$ - $$$","1558","251","#196 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d12994238-Reviews-The_TRAY-Helsinki_Uusimaa.html","http://www.glohotels.fi/en/hotels/glo-kluuvi/restaurant"
"Salomonkatu 5 Kamppi, Helsinki 00100 Finland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub","Australian",,,,,,,,,,,"1560","720",,,"1560","840",,,,,"1560","840",,,,,"1620","720",,,,,"1620","720",,,,,"1620","720",,,,,"1620","720",,,,,"758290","false","false","60.169907","24.932636","Aussie Bar","183","+358 9 737373","$$ - $$$","1558","257","#200 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d758290-Reviews-Aussie_Bar-Helsinki_Uusimaa.html","http://www.aussiebar.xxx"
"Fredrikinkatu 46, Helsinki 00100 Finland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Asian","Nepali","Vegetarian Friendly","Vegan Options",,,,,,,,,,"1320","720",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","720",,,,,"783223","false","false","60.16893","24.92939","Satkar","154","+358 9 611077","$$ - $$$","1558","256","#199 of 1,507 Restaurants in Helsinki","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189934-d783223-Reviews-Satkar-Helsinki_Uusimaa.html","http://www.satkar.fi"
