"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"ul. Westerplatte 15, Krakow Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1124074","false","false","50.060635","19.94478","Wyspianski","104","(012) 422 95 00","$$ - $$$","1750","460","#354 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1124074-Reviews-Wyspianski-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.hotel-wyspianski.pl/index.php?p0=14"
"Jozefa Dead opposite the end of the alleyway where they filmed the balcony and hiding scenes in Schindler's List, Krakow Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8500740","false","false","50.050556","19.944458","Eszeweria Bar","68",,"$","1750","452","#348 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d8500740-Reviews-Eszeweria_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"ul. Rynek Podgorski 11, Krakow 30-518 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","French","Cafe","European",,,,,,,,,"contact@cukiernia-nadgreg.pl","1140","510",,,"1140","480",,,"1140","480",,,"1140","480",,,"1140","480",,,"1140","480",,,"1140","510",,,"10627476","false","false","50.044556","19.94822","Nad & Greg","61","+48 506 339 683","$$ - $$$","1750","451","#70 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d10627476-Reviews-Nad_Greg-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/cukiernianadgreg/"
"ul. Jakuba 21, Krakow 31-057 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Middle Eastern","Israeli","Vegetarian Friendly","Vegan Options","Kosher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8115650","false","false","50.05183","19.946842","Szalom Falafel","64","+48 508 316 348","$","1750","456","#351 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d8115650-Reviews-Szalom_Falafel-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/pages/Szalom-Falafel-Take-Away-Israeli-Style/708005332609675"
"pl. Wolnica 13, Krakow 31-060 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Fast Food","Turkish","Middle Eastern",,,,,,,,,"placwolnica13@interia.pl","1200","720",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1380","660",,,"1380","720",,,"9607965","false","false","50.048504","19.94389","Kebab Pod 13","118","+48 690 465 643","$","1750","453","#71 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d9607965-Reviews-Kebab_Pod_13-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/KebabPod13"
"ul. Jozefa 25, Krakow 31-056 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Fusion","Cafe","European","Vegetarian Friendly","Vegan Options",,,,,,,"cooks@massolit.com","1200","540",,,,,,,"1020","540",,,"1020","540",,,"1020","540",,,"1020","540",,,"1200","540",,,"13990769","false","false","50.051254","19.948002","Massolit Cooks","27","+48 12 422 19 82","$","1750","455","#72 of 121 Quick Bites in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13990769-Reviews-Massolit_Cooks-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/massolitcooks"
"ul. Nadwislanska 1, Krakow 30-527 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","International","European","Vegetarian Friendly","Vegan Options",,,,,,,,"1020","660",,,"1140","450",,,"1140","450",,,"1140","450",,,"1140","450",,,"1140","450",,,"1140","600",,,"3410975","false","false","50.046043","19.949106","Cawa","68","+48 12 656 74 56","$$ - $$$","1750","454","#349 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d3410975-Reviews-Cawa-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"ul. Grodzka 47, Krakow 31-001 Poland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9562579","false","false","50.05751","19.938171","Chilli Coffee","39","+48 535 808 838","$","1750","459","#38 of 103 Dessert in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d9562579-Reviews-Chilli_Coffee-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/chilli.coffee.cracow"
"ul. Dajwor No. 3, Krakow 31-052 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,"helmut@artefakt-cafe.pl","1620","960",,,"1620","960",,,"1620","960",,,"1620","960",,,"1620","960",,,"1620","960",,,"1620","960",,,"4103077","false","false","50.052223","19.949167","Artefakt Cafe","69","+48 535 799 666","$","1750","458","#353 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4103077-Reviews-Artefakt_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://artefakt-cafe.pl/"
"Pawia 5 Galeria Krakowska, Krakow 31-154 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,"owoce@wczekoladzie.pl","1260","600",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"17854549","false","false","50.0674","19.946264","Fragola - Swieze Owoce w Czekoladzie","23","+48 509 544 154","$","1750","457","#352 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d17854549-Reviews-Fragola_Swieze_Owoce_w_Czekoladzie-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://owocewczekoladzie.pl"
"Pawia 5 Galeria Krakowska, Krakow 31-154 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"miyakosushi.gk@gmail.com","1260","600",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1124183","false","false","50.067253","19.94582","Miyako Sushi","149","+48 12 628 72 52","$$ - $$$","1750","466","#360 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1124183-Reviews-Miyako_Sushi-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.miyakosushi.pl"
"ul. Bonarka 5, Krakow 30-415 Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly",,,,,,,,,"1320","660",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","660",,,"2694166","false","false","50.035034","19.941153","Pomodorino Ristorante","112","+48 12 263 10 64","$$ - $$$","1750","465","#359 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d2694166-Reviews-Pomodorino_Ristorante-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.pomodorino.pl/"
"Krolowej Jadwigi 184, Krakow 30-212 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","Pizza","Seafood","Vegetarian Friendly","Vegan Options",,,,,,,"1320","720",,,,,,,"1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"12982157","false","false","50.062244","19.88765","La Carbonara","58","+48 604 595 344","$$ - $$$","1750","461","#355 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12982157-Reviews-La_Carbonara-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/LaCarbonaraKrakow/"
"Mikolajska 5, Krakow 33-332 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Pub","Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7812573","false","false","50.0613","19.9417","English Football Club","87",,"$","1750","467","#361 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d7812573-Reviews-English_Football_Club-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://efckrakow.pl/?contact-us,2"
"Bracka 6, Krakow 31-005 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Polish","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15278625","false","false","50.060223","19.936207","Coffe and Restaurants Wieczory i Poranki","47","+48 500 398 741","$","1750","462","#356 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d15278625-Reviews-Coffe_and_Restaurants_Wieczory_i_Poranki-Krakow_Lesser_Poland_Province_Southern_.html","http://wieczory-i-poranki-polish-restaurant-cafewine-bar.business.site"
"Plac Nowy, Krakow Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Turkish","Fast Food","Middle Eastern","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19313910","false","false","50.05169","19.944675","Doner House Kebab & Vege","39","+48 518 745 454","$","1750","468","#362 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d19313910-Reviews-Doner_House_Kebab_Vege-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/donerhousekrakow/"
"Main Market Square 16, Krakow 31-008 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Steakhouse","Bar","Grill","Gluten Free Options",,,,,,,,"restauracja@grandegrill.pl","1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1098846","false","false","50.060482","19.937355","Grande Grill","815","+48 12 424 96 21","$$ - $$$","1750","469","#363 of 1,760 Restaurants in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1098846-Reviews-Grande_Grill-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.grandegrill.pl"
"ul. Bobrzynskiego 33, Krakow 31-978 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Italian","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753327","false","false","50.02057","19.8991","Oregano, Pizzeria","118","+48 12 267 72 23","$$ - $$$","1750","470","#364 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d753327-Reviews-Oregano_Pizzeria-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://restauracjaoregano.com"
"ul. Jozefa 13, Krakow 31-056 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","European","Central European",,,,,,,,,,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1098687","false","false","50.05108","19.945826","Kuchnia i Wino","139","+48 12 421 77 36","$$ - $$$","1750","464","#358 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1098687-Reviews-Kuchnia_i_Wino-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://kuchniaiwino.eu"
"ul. Bracka 6, Krakow 31-005 Poland","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,"lafamiglia.trattoria@wp.pl","1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1929643","false","false","50.060337","19.936289","La Famiglia Trattoria","279","(012) 433-97-70","$$ - $$$","1750","463","#357 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1929643-Reviews-La_Famiglia_Trattoria-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.trattorialafamiglia.pl"
"ul. Jozefa 25 Next to Szeroka Street, just next to the Old Synagogue, Krakow 31-056 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Indian",,,,,,,,,,,"krakow@czajownia.pl","1380","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"1380","0",,,"1380","0",,,"1380","0",,,"5575114","false","false","50.0514","19.948195","Czajownia","70","+48 692 170 307","$$ - $$$","1750","477","#43 of 139 Coffee & Tea in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d5575114-Reviews-Czajownia-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/Czajownia-251728114562"
