"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Largo do Terreirinho N 35, Lisbon 1100-595 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","European","Healthy","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,"960","660",,,,,"960","660",,,,,"960","660",,,,,"960","660",,,,,"960","660",,,,,"960","660",,,,,"10489034","false","false","38.71615","-9.132947","Bistro 35 Lisboa","95","+351 968 943 765","$","4829","155","#141 of 4,921 Restaurants in Lisbon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d10489034-Reviews-Bistro_35_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html","http://bistro35lisboa.business.site"
"Praca das Flores 62 Principe Real, Lisbon 1200-192 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,"info@cervetecalisboa.com","1380","930",,,,,,,,,,,"1500","1080",,,,,"1500","930",,,,,"1500","930",,,,,"1560","930",,,,,"1560","930",,,,,"6751330","false","false","38.715054","-9.151287","Cerveteca Lisboa","205",,"$$ - $$$","4829","156","#142 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d6751330-Reviews-Cerveteca_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html","http://www.cervetecalisboa.com/"
"Rua dos Bacalhoeiros 103, Lisbon 1100-070 Portugal","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Healthy","Portuguese","Mediterranean","Vegetarian Friendly","Gluten Free Options",,,,,,,,"hello@restaurantesala.pt",,,,,,,,,,,,,"1380","1140",,,,,"1380","1140",,,,,"1380","1140",,,,,"1380","1140",,,,,"1380","1140",,,,,"15227438","false","false","38.70902","-9.133146","Sala","102","+351 21 887 3045","$$$$","4829","153","#139 of 4,921 Restaurants in Lisbon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d15227438-Reviews-Sala-Lisbon_Lisbon_District_Central_Portugal.html","http://www.restaurantesala.pt"
"Rua da Padaria n 18, Lisbon 1100-389 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"restauranteindiagate@gmail.com",,,,,,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080",,,"2285993","false","false","38.70949","-9.134474","Restaurante India Gate","893","+351 21 346 9797","$$ - $$$","4829","159","#145 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d2285993-Reviews-Restaurante_India_Gate-Lisbon_Lisbon_District_Central_Portugal.html","http://www.facebook.com/pages/Restaurante-india-gate/166791423373184"
"Rua Bartolomeu de Gusmao 31, Lisbon 1100-078 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Mediterranean","European","Healthy","Portuguese","Gluten Free Options",,,,,,,,,"clarasemcastelo31@gmail.com","1500","600",,,,,"1500","600",,,,,"1500","600",,,,,,,,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1896374","false","false","38.712185","-9.132864","Claras em Castelo","1443","+351 21 885 3071","$$ - $$$","4828","203","#186 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d1896374-Reviews-Claras_em_Castelo-Lisbon_Lisbon_District_Central_Portugal.html","http://fr-fr.facebook.com/pages/Claras-em-Castelo/101170869938952"
"Rua dos Fanqueiros 308, Lisbon 1100-233 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Romana","Lazio","Central-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"biancodeliziosomarketing@gmail.com",,,,,,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"17385404","false","false","38.71327","-9.136968","Bianco Delizioso","205","+351 961 389 773","$$ - $$$","4828","209","#192 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d17385404-Reviews-Bianco_Delizioso-Lisbon_Lisbon_District_Central_Portugal.html","https://www.facebook.com/restaurantebiancodelizioso/"
"Rua Conceicao da Gloria 21, Lisbon 1250-079 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Seafood","Portuguese","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"asvelhas.restaurante@gmail.com",,,,,,,"900","750","1320","1140",,,"900","750","1320","1140",,,"900","750","1320","1140",,,"900","750","1320","1140",,,"900","750","1320","1140",,,"1320","1140",,,,,"2165125","false","false","38.71754","-9.144477","As Velhas","1045","+351 21 342 2490","$$ - $$$","4828","207","#190 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d2165125-Reviews-As_Velhas-Lisbon_Lisbon_District_Central_Portugal.html","http://asvelhas-restaurante.business.site/"
"Rua dos Remedios 176 Alfama, Lisbon 1100-452 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Seafood","Portuguese",,,,,,,,,,,,"reservas@sr-fado.com","1440","1170",,,,,,,,,,,,,,,,,"1440","1170",,,,,"1440","1170",,,,,,,,,,,"1440","1170",,,,,"1788423","false","false","38.71288","-9.1261","Sr. Fado de Alfama","1308","+351 914 431 971","$$ - $$$","4829","160","#146 of 4,921 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d1788423-Reviews-Sr_Fado_de_Alfama-Lisbon_Lisbon_District_Central_Portugal.html","http://www.sr-fado.com"
"Rua de Sao Bento 318, Lisbon 1200-817 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Indian","Nepali","Fusion","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"gurkha.lisbon@gmail.com","900","0","1380","1125",,,"900","0","1380","1140",,,"900","0","1380","1140",,,"900","0","1380","1125",,,"900","0","1380","1140",,,"900","0","1380","1140",,,"930","0","1380","1125",,,"9758183","false","false","38.714417","-9.153656","Gurkha Restaurant & Bar","192","+351 932 313 052","$$ - $$$","4828","202","#185 of 4,919 Restaurants in Lisbon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d9758183-Reviews-Gurkha_Restaurant_Bar-Lisbon_Lisbon_District_Central_Portugal.html","http://gurkharestaurant.makro.rest"
"Campo Pequeno 42 A 1000-080, Lisbon 1000-080 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","Mediterranean","European","Portuguese","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"peoplerestaurante@gmail.com",,,,,,,"930","720","1350","1140",,,"930","720","1350","1140",,,"930","720","1350","1140",,,"930","720","1350","1140",,,"930","720","1410","1140",,,"1410","1140",,,,,"3205522","false","false","38.742584","-9.144003","Restaurante People","425","+351 21 796 1298","$$ - $$$","4828","204","#187 of 4,919 Restaurants in Lisbon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189158-d3205522-Reviews-Restaurante_People-Lisbon_Lisbon_District_Central_Portugal.html","http://www.restaurantepeople.com/"
