"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Nazorjeva ulica 3, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian",,,,,,,,,"info@niamniam.si",,,,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"19756214","false","false","46.05247","14.5049","Niam Niam","5","+386 820 20163","$","611","401","#343 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d19756214-Reviews-Niam_Niam-Ljubljana_Upper_Carniola_Region.html","http://www.niamniam.si"
"Dunajska cesta 106, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,"1260","420",,,"1260","420",,,"1260","420",,,"1260","420",,,"1260","420",,,,,,,"6864966","false","false","46.07444","14.51204","Barbado","5","+386 1 537 37 37","$","611","402","#344 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d6864966-Reviews-Barbado-Ljubljana_Upper_Carniola_Region.html","http://www.barbado.si/"
"Masarykova cesta 30, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Slovenian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12801419","false","false","46.05711","14.5186","Long Burgers","3","+386 30 306 326","","611","410","#352 of 601 Restaurants in Ljubljana","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d12801419-Reviews-Long_Burgers-Ljubljana_Upper_Carniola_Region.html","https://www.facebook.com/longburgersmasarykova30/"
"Kongresni trg 3, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,,,,,,,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","660",,,"1380","720",,,"3685043","false","false","46.050358","14.504314","Han","90","+386 1 425 11 11","$$ - $$$","611","408","#350 of 601 Restaurants in Ljubljana","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d3685043-Reviews-Han-Ljubljana_Upper_Carniola_Region.html","http://www.restavracija-han.si"
"Karlovshka cesta 19, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Turkish","Middle Eastern","Halal","Vegetarian Friendly",,,,,,,,,,,,"1440","780",,,"1440","780",,,"1440","780",,,"1440","780",,,"1440","780",,,"1440","780",,,"740068","false","false","46.04376","14.51136","Yildiz Han - Turska restavracija","25","+386 1 426 57 17","$$ - $$$","611","405","#347 of 601 Restaurants in Ljubljana","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d740068-Reviews-Yildiz_Han_Turska_restavracija-Ljubljana_Upper_Carniola_Region.html","http://www.yildiz-han.com/en"
"Izhanska cesta 282, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian",,,,,,,,,"lin.hai@ctd.si","1380","690",,,"1380","690",,,"1380","690",,,"1380","690",,,"1380","690",,,"1380","690",,,"1380","690",,,"2077224","false","false","46.01412","14.512","kitajska restavracija kitajski zmaj","15","+386 1 427 22 61","$$ - $$$","611","407","#349 of 601 Restaurants in Ljubljana","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d2077224-Reviews-Kitajska_restavracija_kitajski_zmaj-Ljubljana_Upper_Carniola_Region.html","http://www.kitajski-zmaj.si"
"Stegne 23a, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,"info@kavarna-cuk.si",,,,,"1230","360",,,"1230","360",,,"1230","360",,,"1230","360",,,"1230","360",,,,,,,"11829367","false","false","46.08679","14.482746","Cuk Bar","3","+386 1 500 32 35","","611","404","#346 of 601 Restaurants in Ljubljana","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d11829367-Reviews-Cuk_Bar-Ljubljana_Upper_Carniola_Region.html","http://www.kavarna-cuk.si"
"Trubarjeva cesta 18, Ljubljana 1000 Slovenia",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,"780","420",,,"780","420",,,"780","420",,,"780","420",,,"780","420",,,,,,,"7252001","false","false","46.05217","14.50831","Reformer Pub","9",,"$","611","409","#351 of 601 Restaurants in Ljubljana","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d7252001-Reviews-Reformer_Pub-Ljubljana_Upper_Carniola_Region.html",
"Petkovskovo nabrezje 65, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Cafe","European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@bistrot.si","960","480",,,"960","480",,,"960","480",,,"960","480",,,"960","480",,,"960","480",,,"960","480",,,"12089348","false","false","46.051914","14.513801","EK Bistro","318","+386 51 624 061","$$ - $$$","611","10","#9 of 601 Restaurants in Ljubljana","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d12089348-Reviews-EK_Bistro-Ljubljana_Upper_Carniola_Region.html","http://www.facebook.com/bistro.si/"
"Gornji trg 10, Ljubljana 1000 Slovenia","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Street Food","Vegetarian Friendly","Vegan Options",,,,,,,"tacos@elpatron.si",,,,,"960","720","1200","1050","960","720","1200","1050","960","720","1200","1050","960","720","1230","1050","960","720","1230","1050","960","720","1230","1050","8689552","false","false","46.046543","14.507537","El Patron Tacos & Store","126","+386 590 23135","$","611","8","#7 of 601 Restaurants in Ljubljana","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274873-d8689552-Reviews-El_Patron_Tacos_Store-Ljubljana_Upper_Carniola_Region.html","http://www.facebook.com/elpatronslovenia/"
