"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"109, avenue du X Septembre, Luxembourg City 2550 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"743783","false","false","49.60741","6.11005","Parc Belair","31","+352 44 23 23","$$ - $$$","730","357","#336 of 741 Restaurants in Luxembourg City","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d743783-Reviews-Parc_Belair-Luxembourg_City.html",
"15 Rue Edward Steichen, Luxembourg City 2540 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","Steakhouse","Barbecue","Grill",,,,,,,,,,"info@terrasteakhouse.lu","840","660","1260","1020","840","660","1260","1020",,,"840","660","1260","1020",,,"840","660","1260","1020",,,"840","660","1260","1020",,,"840","660","1260","1020",,,"840","660","1260","1020",,,"23237405","false","false","49.631252","6.173909","Terra Steakhouse","6","+352 28 80 23 63","$$$$","730","355","#334 of 741 Restaurants in Luxembourg City","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d23237405-Reviews-Terra_Steakhouse-Luxembourg_City.html","http://www.terrasteakhouse.lu"
"Place de Paris, Luxembourg City 1463 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12997695","false","false","49.6036","6.13136","Gringo's Tex Mex Kitchen & Sportsbar","86","+352 26 20 36 29","$$ - $$$","730","353","#332 of 741 Restaurants in Luxembourg City","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d12997695-Reviews-Gringo_s_Tex_Mex_Kitchen_Sportsbar-Luxembourg_City.html","http://www.facebook.com/GringosLuxembourg/"
"3 Rue de Bonnevoie, Luxembourg City 1260 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2039404","false","false","49.60309","6.13348","Casa Fabiana","69","+352 26 19 61 82","$$ - $$$","730","354","#333 of 741 Restaurants in Luxembourg City","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d2039404-Reviews-Casa_Fabiana-Luxembourg_City.html","http://www.casafabiana.lu/"
"6 Avenue Monterey, Luxembourg City 2163 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Turkish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14131378","false","false","49.61096","6.1283","Snack Ankara","13","+352 27 29 30 00","$","730","351","#330 of 741 Restaurants in Luxembourg City","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d14131378-Reviews-Snack_Ankara-Luxembourg_City.html","http://snack-ankara-sarl.business.site/"
"72 Route d'Arlon 8008 Strassen, Strassen, Luxembourg City 8008 Luxembourg","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Wine Bar","Central-Italian","Vegetarian Friendly",,,,,,,,"info@bivius.lu",,,,,"825","690","1260","1095",,,"825","690","1260","1095",,,"825","690","1260","1095",,,"825","690","1260","1095",,,"825","690","1260","1095",,,"1260","1095",,,,,"2275243","false","false","49.61882","6.084336","BIVIUS eat & sleep (Restaurant)","42","+352 45 08 81","$$ - $$$","730","160","#148 of 741 Restaurants in Luxembourg City","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g206535-d2275243-Reviews-BIVIUS_eat_sleep_Restaurant-Strassen_Luxembourg_City.html","http://www.bivius.lu/"
"13 Place d'Armes 13 Place d'Armes, 1136, Luxembourg City 1136 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","American","Pizza","Vegetarian Friendly",,,,,,,,,,"1380","660",,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1440","660",,,,,"1440","660",,,,,"5020801","false","false","49.61117","6.129129","Pizza Hut","233","+352 46 07 77","$$ - $$$","730","159","#147 of 741 Restaurants in Luxembourg City","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d5020801-Reviews-Pizza_Hut-Luxembourg_City.html","http://www.pizzahut.lu"
"7 Place d'Armes, Luxembourg City 1136 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","Central European","French","European","Vegetarian Friendly",,,,,,,,,"managers@lalorraine-restaurant.lu","1350","510",,,"1350","510",,,,,"1350","510",,,,,"1350","510",,,,,"1350","510",,,,,"1380","510",,,,,"1380","510",,,,,"743828","false","false","49.611103","6.12954","Brasserie La Lorraine","830","+352 47 14 36","$$$$","730","157","#145 of 741 Restaurants in Luxembourg City","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d743828-Reviews-Brasserie_La_Lorraine-Luxembourg_City.html","http://www.lalorraine-restaurant.lu"
"18 Avenue de la Faiencerie, Luxembourg City 1510 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","French","European",,,,,,,,,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"1320","1140",,,,,"2082191","false","false","49.61692","6.120924","Lagura Next Door","86","+352 26 27 67","$$ - $$$","730","360","#339 of 741 Restaurants in Luxembourg City","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d2082191-Reviews-Lagura_Next_Door-Luxembourg_City.html","http://www.lagura.lu"
"14 Rue de Strasbourg, Luxembourg City 2560 Luxembourg",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza",,,,,,,,,,,"ciao@partigiano.lu","1320","540",,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"720","540",,,,,"19971190","false","false","49.60126","6.131306","Partigiano","34","+352 26 19 00 33","$$ - $$$","730","359","#338 of 741 Restaurants in Luxembourg City","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190356-d19971190-Reviews-Partigiano-Luxembourg_City.html","http://www.partigiano.lu"
