"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"59 Montee de la Grande Cote, 69001 Lyon France",,,,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly",,,,,,,,,,"1200","690",,,,,,,,,,,"1140","630",,,,,"1140","630",,,,,"1140","630",,,,,"1140","630",,,,,"1200","690",,,,,"10818481","false","false","45.7711","4.831579","Aux Thes Des Merveilles","46","+33 4 72 27 80 22","$","2669","404","#383 of 2,792 Restaurants in Lyon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d10818481-Reviews-Aux_Thes_Des_Merveilles-Lyon_Rhone_Auvergne_Rhone_Alpes.html","https://www.facebook.com/auxthesdesmerveilles/"
"3 rue Des Remparts D_Ainay, 69002 Lyon France",,,,,,,,,,,,,,,,,,,,,"restaurant","Fusion","Italian","French","Vegan Options",,,,,,"lezanottigourmand@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16652307","false","false","45.75364","4.828117","Le Zanotti Gourmand","39","+33 4 78 37 40 37","$$ - $$$","2669","406","#385 of 2,792 Restaurants in Lyon","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d16652307-Reviews-Le_Zanotti_Gourmand-Lyon_Rhone_Auvergne_Rhone_Alpes.html","https://lezanottigourmand.fr/"
"11 avenue de Grande Bretagne, 69006 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","French","European",,,,,,,,"contact@christophe-marguin.com",,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,,,,,,,"1328783","false","false","45.77505","4.843004","Le President","88","+33 4 78 94 51 17","$$$$","2669","402","#381 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d1328783-Reviews-Le_President-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://restaurantlepresident.com/"
"89 rue Bossuet, 69006 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,,,"840","720","1380","1080",,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"1380","1080",,,,,"840","720","1380","1080",,,"7077355","false","false","45.768185","4.854572","DineDonG","109","+33 4 26 28 34 57","$$ - $$$","2669","409","#388 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d7077355-Reviews-DineDonG-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.dinedong.fr"
"4 Rue des Trois Maries, 5th, 69005 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014",,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly",,,,,,,,"900","720",,,,,,,,,,,"1350","1140",,,,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1410","1140",,,"900","720","1350","1140",,,"718148","false","false","45.76277","4.828353","L'Eau Salee","214","+33 4 78 42 56 12","$$ - $$$","2669","408","#387 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d718148-Reviews-L_Eau_Salee-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.facebook.com/leau-sal%C3%A9e-269840266362045"
"26 cours Albert Thomas, 69008 Lyon France","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","American","German","Brew Pub","Bar","European","Vegetarian Friendly",,,,"contact@kaffeeberlin.com","1380","1020",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"4133958","false","false","45.74824","4.862843","Kaffee Berlin","339","+33 6 18 81 37 13","$","2669","407","#386 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d4133958-Reviews-Kaffee_Berlin-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.kaffeeberlin.com/"
"32 cours Gambetta, 69007 Lyon France","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Pizza","Italian","French","Vegetarian Friendly",,,,,,"anosmeres@free.fr",,,,,,,,,,,,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1320","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"13569275","false","false","45.754578","4.844602","A Nos Meres","54","+33 9 83 80 35 35","$$ - $$$","2669","403","#382 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d13569275-Reviews-A_Nos_Meres-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://anosmeres.com"
"215 rue Vendome, 69003 Lyon France","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Wine Bar",,,,,,,,,"mademoisellereve.baravin@gmail.com",,,,,,,"1500","1110",,,,,"1500","1110",,,,,"1500","1110",,,,,"1500","1110",,,,,"1500","1110",,,,,"1500","1110",,,,,"6953001","false","false","45.758125","4.847038","Mademoiselle Reve","130","+33 4 78 37 68 14","$","2669","405","#384 of 2,792 Restaurants in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d6953001-Reviews-Mademoiselle_Reve-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.facebook.com/Mademoiselle-R%C3%AAve-300188950062532"
"rue Sala, 69002 Lyon France","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","French","Vegetarian Friendly",,,,,,,,"contact@lespapassucres.fr","1140","675",,,,,,,,,,,"1140","720",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","600",,,,,"13345315","false","false","45.754814","4.831956","Les Papas Sucres","164","+33 4 78 62 49 13","$$ - $$$","2669","410","#8 of 38 Coffee & Tea in Lyon","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d13345315-Reviews-Les_Papas_Sucres-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://lespapassucres.fr"
"10 rue de la Republique, 69001 Lyon France","Certificate of Excellence 2016","2016","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,,,"restaurant","French","Steakhouse","European",,,,,,,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"840","720","1350","1140",,,"2075406","false","false","45.765636","4.835963","L'Entrecote","811","+33 4 78 28 16 64","$$ - $$$","2669","401","#380 of 2,792 Restaurants in Lyon","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187265-d2075406-Reviews-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html","http://www.entrecote.fr/"
