"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Augustenstr. 77, 80333 Munich, Bavaria Germany","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Cafe","Seafood","Mediterranean","European","Diner","Vegetarian Friendly","Vegan Options",,,,,,"info@agusto77.de","1350","720",,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,"8505862","false","false","48.15068","11.563642","AGUSTO77 Cucina e Vini","64","+49 89 45206969","$$ - $$$","3187","410","#380 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d8505862-Reviews-AGUSTO77_Cucina_e_Vini-Munich_Upper_Bavaria_Bavaria.html","http://www.agusto77.de"
"Innere Wiener Str. 32, 81667 Munich, Bavaria Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","European","French","Vegetarian Friendly",,,,,,,,,,,,"1440","1080",,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1470","1110",,,"3483466","false","false","48.133774","11.594799","Creperie Bernard et Bernard","81","+49 89 4801173","$$ - $$$","3187","403","#373 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d3483466-Reviews-Creperie_Bernard_et_Bernard-Munich_Upper_Bavaria_Bavaria.html","http://creperie-bernard.de"
"Steinstr. 18, 81667 Munich, Bavaria Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly",,,,,,,,,,,"info@rue-des-halles.de","1500","1080",,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,"958030","false","false","48.133133","11.595981","Rue des Halles","143","+49 89 485675","$$$$","3187","411","#381 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d958030-Reviews-Rue_des_Halles-Munich_Upper_Bavaria_Bavaria.html","http://rue-des-halles.de/"
"Schleissheimer Str. 201, 80809 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,"1380","660",,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,"5449232","false","false","48.17074","11.563928","L'Ancora","106","+49 89 30762952","$$ - $$$","3187","406","#376 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d5449232-Reviews-L_Ancora-Munich_Upper_Bavaria_Bavaria.html","http://www.lancora.de"
"Schleissheimer Str. 2, 80333 Munich, Bavaria Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Italian","Seafood","Mediterranean","Central European","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,"7134885","false","false","48.147762","11.558794","Sardinia Day","146","+49 89 54320638","$$ - $$$","3187","405","#375 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d7134885-Reviews-Sardinia_Day-Munich_Upper_Bavaria_Bavaria.html","http://www.sardiniaday.de"
"Reitmorstrasse 3, 80538 Munich, Bavaria Germany","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","German","Central European","Contemporary","Wine Bar","Vegetarian Friendly","Gluten Free Options",,,,,,,,"servus@seidelei.com",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1500","1080",,,"10393560","false","false","48.139202","11.592006","Seidelei","71","+49 89 25542220","$$ - $$$","3187","408","#378 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d10393560-Reviews-Seidelei-Munich_Upper_Bavaria_Bavaria.html","http://www.seidelei.com"
"Landsbergerstrasse 447 Eingang Am Knie, 81241 Munich, Bavaria Germany","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Grill","Fusion","Vegetarian Friendly","Vegan Options",,,,,,,,"info@hoathoa.de","1380","1050",,,,,,,,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"1380","1050",,,"14019571","false","false","48.144913","11.471943","Hoa Thoa","37","+49 89 51299699","$$ - $$$","3187","407","#377 of 3,168 Restaurants in Munich","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d14019571-Reviews-Hoa_Thoa-Munich_Upper_Bavaria_Bavaria.html","http://www.hoathoa.de"
"Baaderstr. 11, 80469 Munich, Bavaria Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"1440","1050",,,"900","690","1440","1050",,,"900","690","1440","1050",,,"900","690","1440","1050",,,"900","690","1440","1050",,,"900","690","1440","1050",,,"1440","1050",,,"964370","false","false","48.13192","11.5798","Ganga","101","+49 89 2016465","$$ - $$$","3187","402","#372 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d964370-Reviews-Ganga-Munich_Upper_Bavaria_Bavaria.html","http://www.gangarestaurant.com"
"Stollbergstr. 22, 80539 Munich, Bavaria Germany","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Central European","Vegetarian Friendly",,,,,,,,,,,,,,,"1380","1110",,,,,"1380","1110",,,,,"870","720","1380","1110",,,"870","720","1380","1110",,,"870","720","1380","1110",,,"1380","1110",,,"1039560","false","false","48.137962","11.58349","Albarone","68","+49 89 29168687","$$$$","3187","409","#379 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1039560-Reviews-Albarone-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/pages/Albarone/237334456338906"
"Barer Str. 53, 80799 Munich, Bavaria Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,,,,,,,"900","690","1380","1050","900","690","1380","1050",,,,,,,,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050",,,"900","690","1380","1050","877597","false","false","48.152115","11.573959","MAN FAT chinesisches Restaurant","122","+49 89 2720962","$$ - $$$","3187","361","#334 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d877597-Reviews-MAN_FAT_chinesisches_Restaurant-Munich_Upper_Bavaria_Bavaria.html","http://www.man-fat.de/de/"
