"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Travessa de Cedofeita 51, Porto 4050-184 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","Healthy","Mediterranean","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@coupageporto.com","1440","1080",,,,,,,,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"1440","1080",,,,,"17604284","false","false","41.149822","-8.615354","Coupage 51","74","+351 22 208 1136","$$ - $$$","1993","304","#277 of 1,989 Restaurants in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d17604284-Reviews-Coupage_51-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/coupage51/"
"Praca Guilherme Gomes Fernandes 27, Porto 4050-293 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","Cafe","Portuguese",,,,,,,,,,,,,,,,"1200","1140",,,,,"1200","1140",,,,,"1200","1140",,,,,"1200","1140",,,,,"1200","1140",,,,,"1200","1140",,,,,"6212113","false","false","41.147564","-8.614806","Padaria Ribeiro Express","313","+351 22 200 5067","$","1993","306","#6 of 30 Bakeries in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d6212113-Reviews-Padaria_Ribeiro_Express-Porto_Porto_District_Northern_Portugal.html","http://www.padariaribeiro.com"
"Rua Sao Sebastiao 25, Porto 4050-568 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","Mediterranean","Portuguese","Vegetarian Friendly",,,,,,,,"info@casadamariquinhas.pt",,,,,,,,,,,,,"1620","1200",,,,,"1620","1200",,,,,"1620","1200",,,,,"1620","1200",,,,,"1620","1200",,,,,"3592598","false","false","41.14266","-8.612222","Casa da Mariquinhas","357","+351 915 613 877","$$ - $$$","1993","309","#279 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3592598-Reviews-Casa_da_Mariquinhas-Porto_Porto_District_Northern_Portugal.html","http://www.casadamariquinhas.pt"
"Rua Augusto Rosa 46, Porto 4000-098 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Portuguese","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3958680","false","false","41.143623","-8.607805","Padeirinha Doce","120","+351 22 332 4653","$","1993","307","#7 of 30 Bakeries in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3958680-Reviews-Padeirinha_Doce-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/pg/marlenem20/about/?ref=page_internal"
"Rua Corte Real 289, Porto 4150-235 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"geral@portarossa.pt","960","750","1350","1140",,,"900","750","1350","1140",,,"900","750","1350","1140",,,"900","750","1350","1140",,,"900","750","1350","1140",,,"930","750","1350","1140",,,"960","750","1350","1140",,,"4472249","false","false","41.15662","-8.676622","Portarossa","514","+351 22 617 5286","$$ - $$$","1993","308","#278 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d4472249-Reviews-Portarossa-Porto_Porto_District_Northern_Portugal.html","http://www.portarossa.pt"
"Rua Ferreira Borges 68, Porto 4050-252 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Portuguese","European",,,,,,,,"gelatopia@sakisa.pt","1140","810",,,,,"1140","810",,,,,,,,,,,"1140","810",,,,,"1140","810",,,,,"1320","810",,,,,"1320","810",,,,,"19140612","false","false","41.14232","-8.61517","Gelatopia","68","+351 961 476 765","$","1993","305","#18 of 95 Dessert in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d19140612-Reviews-Gelatopia-Porto_Porto_District_Northern_Portugal.html","http://www.gelatopia.pt"
"Praca Guilherme Gomes Fernandes 56, Porto 4050-294 Portugal","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"Geral@kyotonabaixa.com","930","750","1320","1140",,,"900","720","1350","1170",,,"900","720","1350","1170",,,"900","720","1350","1170",,,"900","720","1350","1170",,,"900","720","1350","1170",,,"930","750","1350","1170",,,"4007924","false","false","41.147636","-8.614525","KYOTO na Baixa","427","+351 918 863 875","$$ - $$$","1993","301","#274 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d4007924-Reviews-KYOTO_na_Baixa-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/kyotonabaixa"
"Rua das Taipas 121, Porto 4050-600 Portugal","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,"reidosgalosdeamarante@hotmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"870","750","1440","1230",,,"1440","1230",,,,,"3681711","false","false","41.14376","-8.617218","Rei dos Galos de Amarante","108","+351 912 151 346","$$ - $$$","1993","302","#275 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d3681711-Reviews-Rei_dos_Galos_de_Amarante-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/reidosgalosdeamarante/"
"Passeio Sao Lazaro 51 Jardim de São Lázaro, Porto 4000-508 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","European","Portuguese","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"geral@tasquinhadocaco.pt","1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1440","600",,,,,"1440","600",,,,,"7724671","false","false","41.146355","-8.602104","Tasquinha Do Caco","261","+351 22 494 0183","$$ - $$$","1993","303","#276 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7724671-Reviews-Tasquinha_Do_Caco-Porto_Porto_District_Northern_Portugal.html","http://www.tasquinhadocaco.pt/"
"Rua de Mouzinho da Silveira 228, Porto 4050-417 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese","Wine Bar","Mediterranean","Vegetarian Friendly",,,,,,"info@bartolomeu.com.pt","1380","750",,,,,"1380","750",,,,,,,,,,,,,,,,,"1380","750",,,,,"1380","750",,,,,"1380","750",,,,,"16668227","false","false","41.143757","-8.612755","Bartolomeu Bistro & Wine","64","+351 22 609 0003","$$ - $$$","1993","310","#280 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d16668227-Reviews-Bartolomeu_Bistro_Wine-Porto_Porto_District_Northern_Portugal.html","http://www.bartolomeu.com.pt"
