"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Kirkeveien 59 B, Oslo 0364 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1140","660",,,,,"1016753","false","false","59.930367","10.70971","Krishna's Cuisine","34","+47 22 60 62 50","$","1304","408","#362 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1016753-Reviews-Krishna_s_Cuisine-Oslo_Eastern_Norway.html","http://www.krishnas-cuisine.no/"
"Bygdoey alle 59c, Oslo 0265 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Wine Bar","European","Vegetarian Friendly",,,,,,,,,,"mail@enoteca.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1471740","false","false","59.918407","10.7051","Enoteca Vinbar","63","+47 23 27 09 27","$$ - $$$","1304","407","#361 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1471740-Reviews-Enoteca_Vinbar-Oslo_Eastern_Norway.html","http://www.enoteca.no/"
"Bryggegangen 6, Oslo 0252 Norway","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","European","International","Vegetarian Friendly",,,,,,,,,,,,"tjuvholmen@barsocialeating.no",,,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1620","1020",,,,,"1620","1020",,,,,"1620","1020",,,,,"2011372","false","false","59.90861","10.721944","BAR Social Eating","161","+47 940 02 094","$$ - $$$","1304","406","#360 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d2011372-Reviews-BAR_Social_Eating-Oslo_Eastern_Norway.html","http://www.barsocialeating.no"
"Hagegata 24, Oslo 0653 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Sushi","Asian","Thai","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"info@munks.no","1320","780",,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1440","630",,,,,"1440","780",,,,,"12726980","false","false","59.914726","10.775801","Munks - Cookin' & Cocktails","58","+47 966 99 962","$$ - $$$","1304","409","#363 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d12726980-Reviews-Munks_Cookin_Cocktails-Oslo_Eastern_Norway.html","https://www.facebook.com/MunksOslo/"
"Gressholmen, Oslo 0150 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Scandinavian","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,"post@gressholmenkro.no","1230","690",,,"1230","750",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","720",,,,,"1230","690",,,,,"3384860","false","false","59.884113","10.722254","Gressholmen Kro","44","+47 907 11 394","$$ - $$$","1304","410","#364 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3384860-Reviews-Gressholmen_Kro-Oslo_Eastern_Norway.html","http://www.gressholmenkro.no"
"Innspurten 11-13, Oslo 0663 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub","Fusion","Scandinavian",,,,,,,,,,,"bord@trewerket.no","900","660",,,,,,,,,,,,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"19714187","false","false","59.91638","10.80727","Trewerket","14","+47 990 92 193","$$ - $$$","1304","404","#358 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d19714187-Reviews-Trewerket-Oslo_Eastern_Norway.html","https://www.facebook.com/trewerket/"
"Toftes gate 30, Oslo 0556 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Central American","Latin","Vegetarian Friendly",,,,,,,,,,,,"1440","840",,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1440","960",,,,,"1500","960",,,,,"1500","840",,,,,"3506404","false","false","59.92713","10.761321","Habanero","108","+47 451 56 239","$$ - $$$","1304","405","#359 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3506404-Reviews-Habanero-Oslo_Eastern_Norway.html","http://www.facebook.com/habanero.oslo"
"Thorvald Meyers gate 32, Oslo 0555 Norway","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Pub",,,,,,,,,,,,,,"post@akuaku.no","2220","960",,,"1500","1080",,,,,"1500","1020",,,,,"2280","1020",,,,,"2280","1020",,,,,"1620","900",,,,,"1620","900",,,,,"3376329","false","false","59.924885","10.759451","Aku Aku Tikibar","87","+47 411 76 966","$$ - $$$","1304","401","#356 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3376329-Reviews-Aku_Aku_Tikibar-Oslo_Eastern_Norway.html","http://www.facebook.com/Aku-Aku-Tiki-Bar-128266347242435/"
"Kongens gate 10, Oslo 0153 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","South American",,,,,,,,,,,,,"kontakt@sweetdekor.no",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1080","480",,,,,"1020","600",,,,,"19369554","false","false","59.91044","10.74232","The Cakery","15","+47 401 00 097","$$ - $$$","1304","402","#12 of 24 Dessert in Oslo","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d19369554-Reviews-The_Cakery-Oslo_Eastern_Norway.html","http://thecakery.no"
"Ullevaalsveien 47, Oslo 0171 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","French",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10426251","false","false","59.924583","10.739629","Pascal","32","+47 22 60 11 61","$$ - $$$","1304","360","#322 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d10426251-Reviews-Pascal-Oslo_Eastern_Norway.html","http://pascal.no/Restauranter-menyer/Ullevaalsveien-47"
