"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Richni 540/9 Mala Strana, Prague 118 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Steakhouse","Bar","European","Czech","Eastern European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,,"kamparium@kamparium.cz","1320","660",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"8145227","false","false","50.081795","14.406015","Kamparium","554","+420 730 629 299","$$ - $$$","5265","309","#272 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d8145227-Reviews-Kamparium-Prague_Bohemia.html","http://www.kamparium.cz"
"Vaclavske Namesti 14, Prague Czech Republic","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"a@milec.cz","1290","840",,,,,"1290","600",,,,,"1290","600",,,,,"1290","600",,,,,"1290","600",,,,,"1290","600",,,,,"1290","720",,,,,"1090366","false","false","50.08326","14.424456","Dobra Cajovna","209","+420 224 231 480","$$ - $$$","5265","310","#273 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1090366-Reviews-Dobra_Cajovna-Prague_Bohemia.html","http://www.tea.cz/cajovna/index.php?toc=&&gal=1vaclavak&&row="
"Ujezd 403/31 Mala Strana, Prague 118 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info.carmelita@seznam.cz","1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1173546","false","false","50.083458","14.404398","Ristorante Carmelita Pizzeria","1348","+420 257 312 564","$$ - $$$","5265","301","#265 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1173546-Reviews-Ristorante_Carmelita_Pizzeria-Prague_Bohemia.html","http://www.restauracecarmelita.cz"
"Karlova 18, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","European","Czech","Eastern European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"uzlatehohada@borskygastro.cz","1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1581840","false","false","50.08611","14.416087","U Zlateho Hada","962","+420 222 222 160","$$ - $$$","5265","303","#266 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1581840-Reviews-U_Zlateho_Hada-Prague_Bohemia.html","http://www.uzlatehohada.cz"
"Celetna 988/38, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"wecare@zebranoodlebar.cz","1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"6774560","false","false","50.08719","14.426583","Zebra Express","529","+420 774 727 611","$$ - $$$","5265","305","#268 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d6774560-Reviews-Zebra_Express-Prague_Bohemia.html","http://www.zebranoodlebar.cz"
"V Jircharich 1285/12 Close to the National theatre, Metro or tram station Národní třída, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"probus@kmotra.cz","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1440","660",,,,,"1380","660",,,,,"787829","false","false","50.08018","14.416958","Pizzeria Kmotra","1269","+420 224 934 100","$","5265","306","#269 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d787829-Reviews-Pizzeria_Kmotra-Prague_Bohemia.html","http://www.kmotra.cz"
"Rytirska 10/10, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Cafe","European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"info@cafe-cafe.cz","1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1054669","false","false","50.084633","14.421813","Cafe-Cafe","1272","+420 774 331 122","$$ - $$$","5265","302","#22 of 212 Dessert in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1054669-Reviews-Cafe_Cafe-Prague_Bohemia.html","http://www.cafe-cafe.cz"
"Vratislavova 129/36, Prague 128 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,,,"restaurant","European","Czech","Eastern European","Central European","Vegetarian Friendly","Vegan Options",,,,,,,,,,"office@usemika.cz","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1773008","false","false","50.06578","14.420178","U Semika","535","+420 221 965 637","$$ - $$$","5265","307","#270 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1773008-Reviews-U_Semika-Prague_Bohemia.html","http://www.usemika.cz"
"Na prikope 859/22, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,"restaurant","Italian","Seafood","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"694832","false","false","50.085915","14.428106","Kogo Slovansky Dum","846","+420 221 451 259","$$ - $$$","5265","304","#267 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d694832-Reviews-Kogo_Slovansky_Dum-Prague_Bohemia.html","http://www.kogo.cz/en/kogo-slovansky-dum/kogo-slovansky-dum/"
"Klimentska 2, Prague 110 00 Czech Republic","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,"restaurant","European","Czech","Eastern European","Central European","Vegetarian Friendly",,,,,,,,,,,"klimentska@usadlu.cz","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1095904","false","false","50.09139","14.427603","Restaurace U Sadlu","976","+420 224 813 874","$$ - $$$","5265","308","#271 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1095904-Reviews-Restaurace_U_Sadlu-Prague_Bohemia.html","http://www.usadlu.cz"
