"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"9 Slupskjulsvaegen Skeppsholmen, Stockholm 111 49 Sweden","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish","Scandinavian","Vegetarian Friendly","Vegan Options",,,,,,,,,"info@momumat.se","1080","660",,,,,,,,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1043389","false","false","59.326183","18.084997","Restaurangen Moderna Museet","178","+46 8 520 236 60","$$ - $$$","3012","407","#355 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1043389-Reviews-Restaurangen_Moderna_Museet-Stockholm.html","http://momumat.se/?page_id=5"
"Roslagsgatan 21, Stockholm 113 55 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish","Scandinavian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17326308","false","false","59.347084","18.059368","Prospero","35","+46 76 669 67 99","$$ - $$$","3012","401","#350 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17326308-Reviews-Prospero-Stockholm.html","http://www.prospero-restaurant.com"
"2-4 Brunnsgraend, Stockholm 111 30 Sweden","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,,,,,"restaurant","French","European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"reservation@lerouge.se",,,,,,,"840","690","1500","1020",,,"840","690","1500","1020",,,"840","690","1500","1020",,,"840","690","1500","1020",,,"1500","690",,,,,,,,,,,"781890","false","false","59.325092","18.074713","Brasserie Le Rouge","338","+46 8 518 040 00","$$$$","3012","404","#353 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d781890-Reviews-Brasserie_Le_Rouge-Stockholm.html","http://lerouge.se/"
"22B Bellmansgatan, Stockholm 118 47 Sweden","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","European","Swedish","Scandinavian","Vegetarian Friendly",,,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"4744238","false","false","59.318855","18.06555","Soders Hjarta","117","+46 8 640 14 62","$$ - $$$","3012","406","#354 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d4744238-Reviews-Soders_Hjarta-Stockholm.html","http://www.sodershjarta.se/php/start.php"
"Norrlandsgatan 16, Stockholm 111 43 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Italian","European","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"1020","510",,,,,"1440","450",,,,,"1440","450",,,,,"1440","450",,,,,"1440","450",,,,,"1500","450",,,,,"1500","510",,,,,"5582188","false","false","59.33443","18.071331","Bianchi Cafe & Cycles Stockholm AB","177","+46 8 611 21 00","$$ - $$$","3012","400","#349 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d5582188-Reviews-Bianchi_Cafe_Cycles_Stockholm_AB-Stockholm.html","http://www.bianchi.cafe"
"1 Vanadisplan, Stockholm 113 31 Sweden","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","European","Spanish","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"4955332","false","false","59.34482","18.039576","Sangria Tapas Bar and Restaurant","119","+46 8 33 45 00","$$ - $$$","3012","403","#352 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d4955332-Reviews-Sangria_Tapas_Bar_and_Restaurant-Stockholm.html","http://sangriatapasbar.se/"
"Stora Fjaderholmen, Stockholm 111 15 Sweden","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Swedish","European","Scandinavian","Vegetarian Friendly",,,,,,,,,,"info@rodavillan.nu","1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"6726543","false","false","59.328297","18.172808","Roda Villan","57","+46 8 21 50 31","$$ - $$$","3012","409","#357 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d6726543-Reviews-Roda_Villan-Stockholm.html","http://www.rodavillan.nu"
"70 Sankt Goeransgatan, Stockholm 112 38 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Italian",,,,,,,,,,,,"info@niteo.se",,,,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"960","540",,,,,"7827886","false","false","59.333393","18.030931","Caffe  Poli","32","+46 8 440 23 74","$","3012","405","#23 of 140 Coffee & Tea in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7827886-Reviews-Caffe_Poli-Stockholm.html","http://www.caffepoli.se/"
"9R Dalagatan, Stockholm 113 61 Sweden","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Seafood","European","Swedish","Scandinavian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"1500","660",,,,,"1500","720",,,,,"1447331","false","false","59.34009","18.046919","Melanders Dalagatan Butik & Brasserie","152","+46 8 30 03 00","$$ - $$$","3012","402","#351 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1447331-Reviews-Melanders_Dalagatan_Butik_Brasserie-Stockholm.html","https://melanders.se/restauranger/brasseriet-dalagatan"
"24 Hornsbruksgatan, Stockholm 117 34 Sweden","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Bar","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"1500","720",,,,,"2220","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1560","960",,,,,"1560","720",,,,,"3982708","false","false","59.316093","18.034788","Linje Tio","146","+46 8 22 00 21","$$ - $$$","3012","408","#356 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d3982708-Reviews-Linje_Tio-Stockholm.html","http://linjetio.com"
