"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Lowengasse St., 41-43, Vienna 1030 Austria","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Cafe","European","Austrian","Central European","Vegetarian Friendly",,,,,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"7712792","false","false","48.207394","16.393715","Kunst-Cafe im Hundertwasserhaus","115","+43 650 7138620","$$ - $$$","4185","460","#30 of 278 Coffee & Tea in Vienna","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d7712792-Reviews-Kunst_Cafe_im_Hundertwasserhaus-Vienna.html","http://www.facebook.com/Hundertwasserhaus"
"Gumpendorfer Strasse 9, Vienna 1060 Austria","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,"restaurant","Vietnamese","Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@shanghaitan.at",,,,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"1500","1080",,,,,"850482","false","false","48.200233","16.361464","ShanghaiTan","214","+43 1 5854988","$$ - $$$","4185","456","#408 of 4,122 Restaurants in Vienna","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d850482-Reviews-ShanghaiTan-Vienna.html","http://www.shanghaitan.at/"
"Schoenbrunner Strasse 280, Vienna 1120 Austria","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Croatian","Vegetarian Friendly",,,,,,,,,,"office@rino-essbar.at",,,,,,,"870","690","1320","1080",,,"870","690","1320","1080",,,"870","690","1320","1080",,,"870","690","1320","1080",,,"870","690","1320","1080",,,,,,,,,"3570723","false","false","48.183887","16.319584","Rino Restaurant","51","+43 664 2077607","$$ - $$$","4185","454","#406 of 4,122 Restaurants in Vienna","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d3570723-Reviews-Rino_Restaurant-Vienna.html","http://www.rino-essbar.at/"
"Taborstrasse 19, Vienna 1020 Austria","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Mediterranean","European","Middle Eastern","Israeli","International","Kosher","Vegetarian Friendly","Vegan Options",,,,"restaurant@bahur-tov.at","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,,,,,,,,,,,,,"3932574","false","false","48.21653","16.38053","Bahur-Tov Kosher Restaurant","132","+43 676 847761200","$$ - $$$","4185","451","#403 of 4,122 Restaurants in Vienna","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d3932574-Reviews-Bahur_Tov_Kosher_Restaurant-Vienna.html","https://bahur-tov.com"
"Kalvarienberggasse 51, Vienna 1170 Austria",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Austrian","Central European","Vegetarian Friendly",,,,,,,,,"reservierung@schrammelbeisl.at",,,,,,,,,,,,,"2160","960",,,,,"2160","960",,,,,"2160","960",,,,,"2160","960",,,,,"2160","960",,,,,"3692099","false","false","48.22078","16.33334","Schrammelbeisl","70","+43 1 4025800","$$ - $$$","4185","455","#407 of 4,122 Restaurants in Vienna","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d3692099-Reviews-Schrammelbeisl-Vienna.html","http://www.schrammelbeisl.at"
"Opernring 2 1010 Vienna, Vienna 1010 Austria","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,"restaurant","Austrian","Cafe","European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,"office@cafeoperwien.at","1380","570",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"2686810","false","false","48.203053","16.369509","Cafe Oper Wien","373","+43 1 5133957","$$ - $$$","4185","458","#410 of 4,122 Restaurants in Vienna","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d2686810-Reviews-Cafe_Oper_Wien-Vienna.html","http://www.cafeoperwien.at"
"Wollzeille 21, Vienna Austria","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Greek","Vegetarian Friendly","Vegan Options",,,,,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"3500770","false","false","48.208305","16.376669","Ellas Ouzeri","145","+43 1 5123542","$","4185","457","#409 of 4,122 Restaurants in Vienna","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d3500770-Reviews-Ellas_Ouzeri-Vienna.html","http://www.facebook.com/Ouzeri-Ellas-188706714502194/"
"Gutenberggasse 28, Vienna 1070 Austria","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,"restaurant","Mediterranean","International","Vegetarian Friendly","Gluten Free Options",,,,,,,,"reservierung@restaurant-1070.com","1500","1050",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","1050",,,,,"2179552","false","false","48.203884","16.355577","Restaurant 1070","282","+43 676 5661774","$$ - $$$","4185","452","#404 of 4,122 Restaurants in Vienna","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d2179552-Reviews-Restaurant_1070-Vienna.html","http://www.restaurant-1070.com/"
"Haarhof 3, Vienna 1010 Austria","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,"restaurant","German","Austrian","Bar","European","Central European",,,,,,,"office@bierhof.at","1320","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1410","690",,,,,"1127147","false","false","48.21011","16.367168","Bierhof","417","+43 1 5334428","$$ - $$$","4185","459","#411 of 4,122 Restaurants in Vienna","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d1127147-Reviews-Bierhof-Vienna.html","http://bierhof.at/bierhof-home.html"
"Hoher Markt 8, Vienna 1010 Austria","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,"restaurant","German","Austrian","European","Fast Food","Street Food",,,,,,,"ahmad87@gmx.at","1680","540",,,,,"1680","540",,,,,"1680","540",,,,,"1680","540",,,,,"1680","540",,,,,"1680","540",,,,,"1680","540",,,,,"1138872","false","false","48.2112","16.372427","Wurstelstand am Hohen Markt","182","+43 676 6673464","$","4185","453","#405 of 4,122 Restaurants in Vienna","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190454-d1138872-Reviews-Wurstelstand_am_Hohen_Markt-Vienna.html",
