"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Olesinska 2, Warsaw 00-001 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Asian","Korean","Vegetarian Friendly",,,,,,,,,"1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"12322898","false","false","52.204994","21.022257","Korea Town","47",,"$$ - $$$","2961","406","#359 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d12322898-Reviews-Korea_Town-Warsaw_Mazovia_Province_Central_Poland.html","https://www.facebook.com/KoreaTownRest/"
"ul. Patriotow 11A, Warsaw 04-972 Poland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options",,,,,,,,"biuro@house-of-curry.pl","1320","660",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,"10209823","false","false","52.155277","21.216808","House of Curry","64","+48 512 533 415","$$ - $$$","2961","407","#360 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10209823-Reviews-House_of_Curry-Warsaw_Mazovia_Province_Central_Poland.html","http://house-of-curry.pl"
"Grochowska 282, Warsaw 03-841 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10699780","false","false","52.24658","21.067272","Nancy Lee","46",,"$$ - $$$","2961","410","#21 of 126 Coffee & Tea in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10699780-Reviews-Nancy_Lee-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/NancyLeeCafe/home"
"ul. Koszykowa 47 Entrance from Koszykowa 53, Warsaw 00-659 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Bar","Seafood","Healthy",,,,,,,"restauracja@nabalkany.pl","1320","780",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,"14117092","false","false","52.222256","21.014545","Na Balkany - Modern Balkan restaurant & bar","31","+48 22 118 38 38","$$ - $$$","2961","408","#361 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d14117092-Reviews-Na_Balkany_Modern_Balkan_restaurant_bar-Warsaw_Mazovia_Province_Central_Poland.html","http://www.nabalkany.pl"
"Ul. Marszalkowska 27/35, Warsaw 00-639 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,"sekretariat@ministerstwokawy.pl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8611904","false","false","52.21898","21.018406","Ministerstwo Kawy","64","+48 503 080 906","$$ - $$$","2961","402","#26 of 62 Quick Bites in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8611904-Reviews-Ministerstwo_Kawy-Warsaw_Mazovia_Province_Central_Poland.html","http://www.ministerstwokawy.pl/Ministerstwo_Kawy/aktualnosci.html"
"Ul. Zurawia 32/34 Zamknięta, Warsaw 00-515 Poland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Italian","American","Bar","European","International",,,,,,"bata@jedzenie-picie.pl","1380","600",,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1680","480",,,,,"1680","600",,,"7140029","false","false","52.228622","21.013813","Bata - Jedzenie i Picie","119","+48 22 521 06 37","$$ - $$$","2961","404","#357 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d7140029-Reviews-Bata_Jedzenie_i_Picie-Warsaw_Mazovia_Province_Central_Poland.html","http://pl-pl.facebook.com/jedzenieipiciezurawia"
"Florianska st.,14, Warsaw 03-001 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Polish","European","Eastern European","Vegetarian Friendly",,,,,,,,"1080","600",,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,"7237675","false","false","52.252316","21.03025","Bar Mleczny Rusalka","114","+48 22 619 52 00","$","2961","409","#27 of 62 Quick Bites in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d7237675-Reviews-Bar_Mleczny_Rusalka-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/pages/Bar-Mleczny-Rusa%C5%82ka/115329061881225"
"Obrzezna 1, Warsaw 02-691 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,"1200","720",,,"1200","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1320","720",,,,,"1320","720",,,"13120949","false","false","52.16993","20.99634","Schabowy","47","+48 22 241 32 51","$$ - $$$","2961","405","#358 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d13120949-Reviews-Schabowy-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/schabowy.warszawa"
"Ul. Waszyngtona 75, Warsaw Poland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options",,,,,,,,,"1320","660",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,"3544971","false","false","52.24432","21.082071","Parivar","59","+48 22 464 89 80","$$ - $$$","2961","403","#356 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d3544971-Reviews-Parivar-Warsaw_Mazovia_Province_Central_Poland.html","http://www.parivar.pl"
"ul. Chmielna 34, Warsaw 00-020 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Vegetarian Friendly","Vegan Options",,,,,,,"info@bordo.com.pl","1260","600",,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1380","600",,,,,"1380","600",,,"802021","false","false","52.231888","21.0118","Bordo Bistro","223","+48 22 826 01 71","$$ - $$$","2961","401","#355 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d802021-Reviews-Bordo_Bistro-Warsaw_Mazovia_Province_Central_Poland.html","http://bordo.com.pl/"
