"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Friesenbergplatz 7, Zurich 8045 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,"info@restaurant-lapiazza.ch",,,,,,,"840","660","1230","1050",,,"840","660","1230","1050",,,"840","660","1230","1050",,,"840","660","1230","1050",,,"840","660","1230","1050",,,"1290","1050",,,,,"13961297","false","false","47.360615","8.507086","La Piazza","23","+41 44 291 99 11","$$ - $$$","1828","812","#764 of 1,862 Restaurants in Zurich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d13961297-Reviews-La_Piazza-Zurich.html","https://www.restaurant-lapiazza.ch"
"Otto-Schütz-Weg 5, Zurich 8050 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly",,,,,,,,,,,"info@jaime.ch",,,,,,,"840","540","1440","960",,,"840","540","1440","960",,,"840","540","1440","960",,,"840","540","1440","960",,,"840","540","1440","960",,,,,,,,,"1771164","false","false","47.41482","8.54082","Jaime El Barco","37","+41 44 310 21 70","$$ - $$$","1828","805","#757 of 1,862 Restaurants in Zurich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d1771164-Reviews-Jaime_El_Barco-Zurich.html","http://www.jaime.ch"
"Neptunstrasse, Zurich Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Chinese","Thai","Vietnamese","Vegetarian Friendly",,,,,,,,,,,,,,"840","660","1320","1050",,,"840","660","1320","1050",,,"840","660","1320","1050",,,"840","660","1320","1050",,,"840","660","1320","1050",,,"1320","1050",,,,,"4981713","false","false","47.36629","8.557125","Lemon Grass Restaurant","45","+41 44 383 47 91","$$ - $$$","1828","809","#761 of 1,862 Restaurants in Zurich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d4981713-Reviews-Lemon_Grass_Restaurant-Zurich.html","http://suan-long.ch/lemongrass"
"Lintheschergasse 21 Kreis 1, Zurich 8001 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Swiss","European","Central European","Vegetarian Friendly","Gluten Free Options",,,,,,,"info@walliserkanne-zuerich.ch","1350","1020",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1918250","false","false","47.376633","8.538988","Walliser Kanne","250","+41 44 211 31 33","$$ - $$$","1828","806","#758 of 1,862 Restaurants in Zurich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d1918250-Reviews-Walliser_Kanne-Zurich.html","http://www.walliserkanne-zuerich.ch/"
"Bahnhofplatz 15 Beim Gleis 5, Zurich 8001 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Spanish","European","Central European","Vegetarian Friendly",,,,,,,,"info@time-lounge.ch","1320","540",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1440","420",,,,,"1440","480",,,,,"6973079","false","false","47.377583","8.539367","Time....","107","+41 44 217 15 84","$$ - $$$","1828","811","#763 of 1,862 Restaurants in Zurich","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d6973079-Reviews-Time-Zurich.html","http://www.time-lounge.ch/"
"Geroldstrasse 35, Zurich 8005 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly",,,,,,,,,,,"galopp@zumgaul.ch",,,,,,,"1425","540",,,,,"1425","540",,,,,"1425","540",,,,,"1425","540",,,,,"1425","540",,,,,"1425","690",,,,,"6539458","false","false","47.38583","8.517832","Gartenbeiz Zum Gaul","21","+41 79 204 99 20","$","1828","813","#765 of 1,862 Restaurants in Zurich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d6539458-Reviews-Gartenbeiz_Zum_Gaul-Zurich.html","http://www.zumgaul.ch"
"Claridenstrasse 36, Zurich 8002 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,"beyond@bluewin.ch","1320","1080",,,,,"840","690","1320","1080",,,,,,,,,,,,,,,,,,,,,"840","690","1320","1080",,,"1320","1080",,,,,"800537","false","false","47.38015","8.536007","Beyond","154","+41 43 366 83 45","$$ - $$$","1828","810","#762 of 1,862 Restaurants in Zurich","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d800537-Reviews-Beyond-Zurich.html","http://www.restaurant-beyond.ch/"
"Orellistrasse 21 8044 Zürich, Zurich 8044 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Swiss","European","Vegetarian Friendly",,,,,,,,,"info@chalet-zueriberg.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11547682","false","false","47.38225","8.568558","Chalet Zuriberg","53","+41 44 268 35 35","$$ - $$$","1828","807","#759 of 1,862 Restaurants in Zurich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d11547682-Reviews-Chalet_Zuriberg-Zurich.html","http://www.chalet-zueriberg.ch"
"Langstrasse 84, Zurich 8004 Switzerland",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Indian","Swiss","Mediterranean","European","Asian","Vegetarian Friendly","Vegan Options",,,,,"langstrasse@hiltl.ch","960","660",,,,,"870","660","1260","1080",,,"870","660","1260","1080",,,"870","660","1260","1080",,,"870","660","1260","1080",,,"870","660","1260","1080",,,"870","660","1260","1080",,,"12866173","false","false","47.37776","8.52672","Hiltl Langstrasse","19","+41 44 210 10 84","$$ - $$$","1828","808","#760 of 1,862 Restaurants in Zurich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d12866173-Reviews-Hiltl_Langstrasse-Zurich.html","http://hiltl.ch/de/standorte/langstrasse"
"Stampfenbachstrasse 40, Zurich 8006 Switzerland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"ora-thai@bluewin.ch",,,,,,,"870","690","1410","1080",,,"870","690","1410","1080",,,"870","690","1410","1080",,,"870","690","1410","1080",,,"870","690","1410","1080",,,"1410","1080",,,,,"12323652","false","false","47.37988","8.543054","Ora Thai","61","+41 43 443 90 00","$$ - $$$","1828","303","#291 of 1,862 Restaurants in Zurich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g188113-d12323652-Reviews-Ora_Thai-Zurich.html","http://www.ora-thai.ch"
