iter	MAPE	RMSE	R2	MAE
0	0.05931934851	1.008653367	0.05894229667	0.7945240951
1	0.05747294951	0.9785313815	0.1143097063	0.7696106335
2	0.05569215853	0.9495613133	0.165976296	0.7456069432
3	0.05395002313	0.9215484214	0.2144593058	0.7220550201
4	0.0523350699	0.8949935634	0.2590785072	0.7003022244
5	0.0507575757	0.8690509389	0.3014092428	0.6790349688
6	0.0492299153	0.8443399608	0.340572496	0.65839979
7	0.04776218804	0.8208996634	0.3766779011	0.638650549
8	0.04634542618	0.7981497187	0.4107479542	0.6195468678
9	0.04498871944	0.7764474818	0.4423566331	0.6012954572
10	0.04368846924	0.7559837774	0.4713632865	0.5837409478
11	0.04243410139	0.736052376	0.4988706869	0.5668420869
12	0.04125638803	0.7172323945	0.5241696245	0.5509941447
13	0.04011628344	0.6988004587	0.5483118137	0.5356932924
14	0.03904923344	0.6813528123	0.5705857278	0.5213016379
15	0.03800708735	0.6645027738	0.5915621651	0.5072666939
16	0.03699677949	0.6482959195	0.6112423525	0.4936563157
17	0.03603553349	0.633001279	0.6293691683	0.4807252547
18	0.03510774101	0.6182252873	0.6464703044	0.4682347186
19	0.03420036989	0.6038062246	0.6627689609	0.4560428064
20	0.03337082697	0.5902450138	0.6777469599	0.4448668132
21	0.03259036162	0.5774839981	0.6915304653	0.4343097097
22	0.03180133084	0.5648621994	0.7048672567	0.4236727658
23	0.03105590358	0.5530334715	0.7170985305	0.4136517141
24	0.03034071116	0.5417877227	0.7284869627	0.4040108792
25	0.0296595494	0.5309527972	0.7392380648	0.3948108346
26	0.02902674262	0.5203157747	0.7495815317	0.3862587785
27	0.0283869969	0.510239494	0.7591866765	0.3776078383
28	0.02780011847	0.5006462148	0.7681568637	0.3697112588
29	0.02724243771	0.4913475999	0.7766890356	0.362213919
30	0.02670415019	0.4822615714	0.7848716318	0.3549602445
31	0.02620672106	0.4738631601	0.7922991557	0.3482224008
32	0.02569619154	0.4653848577	0.7996649835	0.3413214659
33	0.0252151565	0.4578262864	0.8061196398	0.3347684683
34	0.02476522249	0.4504741739	0.8122965892	0.3286765661
35	0.02434337947	0.4432589524	0.8182613069	0.3229950533
36	0.02394485661	0.4364790408	0.8237783929	0.3176336998
37	0.02355420926	0.42986261	0.8290804614	0.3123927364
38	0.02317436568	0.4235374077	0.8340734369	0.307276669
39	0.02280131818	0.4173055118	0.8389203745	0.302234951
