iter	Passed	Remaining
0	21	105742
1	54	137152
2	79	132994
3	94	118457
4	112	112573
5	140	116624
6	164	117292
7	189	117967
8	221	122635
9	243	121404
10	263	119484
11	294	122225
12	315	121040
13	354	126185
14	392	130327
15	434	135475
16	478	140265
17	510	141412
18	538	141055
19	556	138564
20	586	139140
21	610	138085
22	627	135777
23	644	133546
24	673	133966
25	708	135595
26	738	136049
27	763	135535
28	781	133875
29	792	131300
30	817	131096
31	848	131698
32	869	130844
33	890	130104
34	916	130075
35	951	131196
36	982	131852
37	1013	132336
38	1042	132551
39	1064	131992
40	1078	130499
41	1098	129692
42	1113	128306
43	1124	126645
44	1135	125015
45	1146	123462
46	1157	121995
47	1168	120528
48	1179	119176
49	1189	117731
50	1200	116475
51	1210	115212
52	1221	113969
53	1232	112842
54	1246	112105
55	1259	111176
56	1270	110182
57	1280	109093
58	1290	108034
59	1300	107040
60	1309	106037
61	1319	105074
62	1329	104161
63	1339	103283
64	1349	102449
65	1359	101625
66	1369	100825
67	1379	100029
68	1388	99227
69	1398	98502
70	1408	97756
71	1426	97663
72	1448	97732
73	1517	101009
74	1554	102088
75	1573	101949
76	1589	101614
77	1603	101192
78	1613	100533
79	1624	99877
80	1635	99335
81	1646	98740
82	1656	98113
83	1666	97504
84	1678	97077
85	1689	96532
86	1704	96256
87	1714	95697
88	1758	97046
89	1861	101548
90	1892	102107
91	1911	101969
92	1937	102235
93	1956	102098
94	1971	101767
95	1983	101305
96	1992	100713
97	2001	100130
98	2010	99529
99	2023	99159
100	2033	98625
101	2042	98075
102	2055	97724
103	2067	97330
104	2084	97186
105	2097	96846
106	2116	96789
107	2134	96687
108	2150	96512
109	2179	96901
110	2198	96838
111	2224	97100
112	2243	97035
113	2275	97518
114	2293	97443
115	2314	97456
116	2330	97282
117	2343	96959
118	2354	96575
119	2371	96426
120	2380	95979
121	2389	95549
122	2399	95134
123	2414	94940
124	2424	94555
125	2433	94134
126	2443	93744
127	2452	93359
128	2464	93062
129	2474	92696
130	2484	92328
131	2493	91959
132	2502	91560
133	2513	91280
134	2523	90939
135	2533	90611
136	2543	90292
137	2553	89974
138	2566	89749
139	2581	89599
140	2594	89404
141	2610	89302
142	2622	89075
143	2646	89240
144	2669	89394
145	2681	89148
146	2693	88930
147	2704	88676
148	2715	88408
149	2725	88118
150	2735	87839
151	2745	87570
152	2757	87347
153	2766	87042
154	2775	86770
155	2785	86496
156	2794	86207
157	2804	85934
158	2813	85649
159	2822	85368
160	2830	85075
161	2839	84812
162	2850	84580
163	2859	84328
164	2868	84067
165	2878	83833
166	2887	83574
167	2898	83355
168	2909	83165
169	2926	83152
170	2942	83086
171	2960	83088
172	2974	82985
173	2990	82946
174	3010	83000
175	3051	83631
176	3068	83601
177	3084	83560
178	3103	83583
179	3123	83629
180	3134	83465
181	3147	83318
182	3158	83132
183	3170	82982
184	3187	82957
185	3218	83296
186	3231	83179
187	3247	83127
188	3260	82988
189	3271	82808
190	3281	82610
191	3292	82439
192	3302	82243
193	3310	82020
194	3321	81842
195	3331	81663
196	3346	81587
197	3356	81410
198	3369	81299
199	3381	81161
200	3396	81094
201	3409	80981
202	3419	80797
203	3430	80653
204	3441	80500
205	3451	80319
206	3461	80140
207	3471	79973
208	3480	79789
209	3492	79655
210	3500	79458
211	3510	79281
212	3519	79100
213	3528	78915
214	3538	78762
215	3548	78589
216	3558	78428
217	3566	78243
218	3576	78071
219	3587	77940
220	3602	77893
221	3619	77894
222	3636	77892
223	3652	77866
224	3678	78070
225	3695	78057
226	3704	77898
227	3714	77734
228	3733	77778
229	3749	77751
230	3764	77709
231	3782	77738
232	3800	77753
233	3812	77643
234	3823	77517
235	3836	77436
236	3846	77300
237	3857	77176
238	3878	77260
239	3894	77248
240	3917	77350
241	3939	77461
242	3950	77327
243	3961	77209
244	3970	77055
245	3983	76981
246	3993	76841
247	4002	76699
248	4012	76554
249	4023	76445
250	4034	76338
251	4045	76215
252	4054	76077
253	4063	75931
254	4074	75826
255	4088	75771
256	4102	75719
257	4116	75666
258	4130	75604
259	4140	75486
260	4152	75388
261	4163	75294
262	4180	75296
263	4189	75163
264	4198	75027
265	4208	74892
266	4218	74775
267	4228	74656
268	4236	74512
269	4245	74373
270	4253	74228
271	4262	74086
272	4272	73975
273	4281	73855
274	4292	73759
275	4302	73642
276	4312	73531
277	4323	73430
278	4332	73309
279	4343	73220
280	4361	73241
281	4383	73338
282	4398	73317
283	4417	73357
284	4436	73399
285	4451	73370
286	4478	73538
287	4493	73518
288	4512	73553
289	4531	73597
290	4545	73558
291	4555	73442
292	4568	73396
293	4578	73293
294	4588	73185
295	4598	73083
296	4610	73005
297	4622	72934
298	4640	72955
299	4654	72927
300	4673	72965
301	4688	72940
302	4701	72880
303	4714	72820
304	4723	72716
305	4734	72620
306	4743	72517
307	4754	72429
308	4766	72354
309	4780	72321
310	4794	72291
311	4809	72261
312	4821	72192
313	4833	72135
314	4847	72103
315	4859	72023
316	4868	71923
317	4878	71825
318	4887	71717
319	4896	71615
320	4907	71535
321	4917	71439
322	4926	71328
323	4934	71216
324	4943	71114
325	4954	71029
326	4964	70938
327	4974	70850
328	4984	70763
329	4993	70666
330	5004	70585
331	5013	70497
332	5024	70421
333	5035	70341
334	5058	70441
335	5081	70536
336	5100	70575
337	5119	70608
338	5139	70661
339	5160	70734
340	5171	70651
341	5180	70555
342	5190	70466
343	5206	70464
344	5225	70502
345	5240	70494
346	5260	70534
347	5275	70527
348	5289	70490
349	5303	70466
350	5315	70403
351	5334	70438
352	5355	70498
353	5371	70491
354	5387	70493
355	5403	70482
356	5413	70411
357	5423	70330
358	5433	70248
359	5443	70161
360	5453	70077
361	5462	69989
362	5472	69909
363	5482	69822
364	5492	69746
365	5501	69660
366	5510	69570
367	5521	69499
368	5532	69432
369	5543	69373
370	5555	69322
371	5565	69242
372	5575	69165
373	5586	69097
374	5600	69066
375	5617	69085
376	5634	69095
377	5651	69101
378	5665	69080
379	5677	69031
380	5689	68981
381	5700	68910
382	5711	68857
383	5725	68821
384	5736	68767
385	5747	68707
386	5758	68645
387	5770	68596
388	5783	68548
389	5795	68503
390	5806	68443
391	5817	68383
392	5829	68334
393	5846	68348
394	5867	68405
395	5893	68523
396	5910	68525
397	5927	68543
398	5949	68600
399	5970	68665
400	5996	68771
401	6012	68774
402	6032	68817
403	6056	68899
404	6074	68920
405	6087	68886
406	6100	68838
407	6110	68775
408	6128	68789
409	6146	68816
410	6166	68850
411	6185	68876
412	6198	68848
413	6210	68793
414	6220	68720
415	6230	68659
416	6240	68584
417	6249	68506
418	6259	68435
419	6269	68367
420	6280	68308
421	6291	68255
422	6301	68183
423	6311	68112
424	6323	68075
425	6336	68030
426	6358	68095
427	6381	68170
428	6398	68180
429	6410	68131
430	6422	68084
431	6433	68023
432	6445	67979
433	6458	67944
434	6471	67915
435	6484	67879
436	6496	67839
437	6509	67802
438	6524	67788
439	6536	67745
440	6548	67695
441	6557	67625
442	6568	67562
443	6577	67492
444	6590	67463
445	6605	67448
446	6620	67433
447	6640	67474
448	6655	67454
449	6672	67471
450	6689	67473
451	6699	67410
452	6710	67357
453	6719	67286
454	6730	67231
455	6739	67162
456	6749	67098
457	6758	67025
458	6767	66955
459	6777	66888
460	6786	66818
461	6795	66746
462	6804	66673
463	6813	66610
464	6823	66549
465	6832	66477
466	6843	66429
467	6854	66381
468	6864	66313
469	6873	66252
470	6882	66181
471	6896	66156
472	6917	66210
473	6945	66320
474	6963	66334
475	6995	66489
476	7013	66506
477	7043	66637
478	7070	66732
479	7107	66928
480	7128	66973
481	7157	67086
482	7190	67243
483	7205	67228
484	7216	67177
485	7237	67218
486	7258	67264
487	7273	67253
488	7288	67237
489	7308	67266
490	7323	67251
491	7338	67238
492	7360	67291
493	7375	67279
494	7394	67301
495	7417	67352
496	7446	67466
497	7471	67543
498	7498	67632
499	7533	67800
500	7569	67972
501	7612	68211
502	7650	68397
503	7701	68699
504	7726	68775
505	7757	68894
506	7771	68867
507	7800	68975
508	7828	69069
509	7848	69100
510	7869	69133
511	7890	69169
512	7927	69334
513	7949	69381
514	7977	69477
515	7998	69504
516	8020	69543
517	8044	69606
518	8081	69772
519	8117	69938
520	8137	69959
521	8160	70001
522	8175	69980
523	8190	69963
524	8210	69982
525	8233	70034
526	8264	70149
527	8282	70148
528	8300	70150
529	8331	70264
530	8367	70423
531	8395	70510
532	8433	70677
533	8457	70728
534	8491	70865
535	8525	71007
536	8549	71054
537	8566	71048
538	8594	71131
539	8623	71227
540	8645	71260
541	8668	71296
542	8681	71259
543	8694	71221
544	8725	71325
545	8755	71426
546	8788	71542
547	8803	71523
548	8822	71530
549	8843	71554
550	8867	71598
551	8902	71738
552	8943	71919
553	8968	71974
554	8991	72016
555	9017	72073
556	9040	72114
557	9058	72111
558	9074	72095
559	9091	72081
560	9112	72103
561	9129	72095
562	9157	72168
563	9178	72187
564	9198	72205
565	9219	72223
566	9247	72296
567	9263	72281
568	9286	72316
569	9304	72312
570	9321	72302
571	9347	72362
572	9373	72416
573	9406	72530
574	9445	72688
575	9471	72746
576	9487	72727
577	9509	72754
578	9527	72750
579	9542	72718
580	9556	72684
581	9580	72723
582	9607	72790
583	9644	72928
584	9662	72923
585	9677	72894
586	9694	72883
587	9711	72872
588	9723	72821
589	9735	72768
590	9745	72702
591	9756	72644
592	9766	72579
593	9783	72566
594	9804	72583
595	9826	72611
596	9848	72637
597	9878	72714
598	9909	72805
599	9939	72892
600	9971	72985
601	10007	73107
602	10028	73125
603	10056	73191
604	10086	73272
605	10115	73343
606	10138	73377
607	10160	73396
608	10184	73434
609	10210	73484
610	10230	73491
611	10261	73575
612	10294	73670
613	10315	73686
614	10330	73653
615	10343	73615
616	10354	73557
617	10364	73490
618	10372	73414
619	10381	73341
620	10391	73277
621	10401	73212
622	10412	73156
623	10423	73098
624	10433	73037
625	10443	72969
626	10453	72909
627	10467	72871
628	10478	72815
629	10488	72750
630	10498	72694
631	10509	72633
632	10519	72570
633	10529	72508
634	10539	72451
635	10548	72383
636	10558	72316
637	10567	72252
638	10581	72214
639	10590	72149
640	10600	72088
641	10610	72026
642	10620	71966
643	10630	71904
644	10639	71836
645	10648	71773
646	10660	71720
647	10670	71661
648	10679	71595
649	10688	71528
650	10699	71476
651	10708	71411
652	10717	71348
653	10727	71287
654	10737	71229
655	10747	71166
656	10757	71109
657	10766	71047
658	10776	70988
659	10785	70922
660	10794	70859
661	10810	70837
662	10825	70815
663	10839	70783
664	10854	70758
665	10869	70734
666	10882	70695
667	10902	70703
668	10915	70666
669	10930	70642
670	10944	70608
671	10954	70550
672	10975	70563
673	10992	70552
674	11018	70597
675	11035	70588
676	11060	70628
677	11077	70615
678	11120	70769
679	11138	70759
680	11152	70731
681	11175	70756
682	11194	70757
683	11207	70721
684	11230	70743
685	11241	70693
686	11253	70648
687	11273	70655
688	11287	70627
689	11316	70684
690	11334	70680
691	11350	70664
692	11364	70633
693	11374	70576
694	11384	70516
695	11394	70462
696	11404	70404
697	11415	70354
698	11425	70300
699	11434	70240
700	11443	70182
701	11453	70122
702	11462	70063
703	11471	70000
704	11480	69940
705	11488	69876
706	11498	69819
707	11507	69758
708	11516	69703
709	11526	69645
710	11535	69585
711	11544	69524
712	11556	69482
713	11566	69430
714	11576	69377
715	11586	69324
716	11596	69269
717	11606	69217
718	11616	69165
719	11625	69109
720	11636	69057
721	11645	69002
722	11654	68943
723	11663	68887
724	11673	68834
725	11683	68778
726	11692	68725
727	11702	68669
728	11711	68612
729	11720	68559
730	11729	68500
731	11738	68441
732	11748	68392
733	11759	68344
734	11768	68288
735	11777	68231
736	11786	68176
737	11796	68123
738	11805	68071
739	11814	68015
740	11824	67960
741	11835	67918
742	11850	67897
743	11863	67865
744	11873	67815
745	11885	67777
746	11899	67747
747	11913	67722
748	11926	67687
749	11938	67653
750	11954	67635
751	11968	67611
752	11983	67588
753	11998	67566
754	12012	67540
755	12023	67495
756	12036	67465
757	12048	67426
758	12061	67395
759	12076	67376
760	12093	67362
761	12108	67342
762	12124	67326
763	12139	67306
764	12151	67271
765	12162	67228
766	12173	67186
767	12186	67150
768	12209	67175
769	12228	67177
770	12246	67173
771	12285	67283
772	12302	67274
773	12318	67256
774	12343	67292
775	12372	67347
776	12392	67355
777	12416	67379
778	12432	67362
779	12447	67346
780	12467	67347
781	12493	67388
782	12522	67442
783	12552	67502
784	12569	67489
785	12599	67550
786	12621	67567
